# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Артикули за животни и домашни любимци
gid://shopify/TaxonomyCategory/ap-1              : Артикули за животни и домашни любимци > Живи животни
gid://shopify/TaxonomyCategory/ap-2              : Артикули за животни и домашни любимци > Артикули за домашни любимци
gid://shopify/TaxonomyCategory/ap-2-1            : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици
gid://shopify/TaxonomyCategory/ap-2-1-1          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Аксесоари за клетки за птици
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Аксесоари за клетки за птици > Вани за къпане на птици
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Аксесоари за клетки за птици > Поилки и хранилки
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Аксесоари за клетки за птици > Поилки и хранилки > Поилки
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Аксесоари за клетки за птици > Поилки и хранилки > Хранилки
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Аксесоари за клетки за птици > Поилки и хранилки > Комбинирани поилки и хранилки
gid://shopify/TaxonomyCategory/ap-2-1-2          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Клетки и стойки за птици
gid://shopify/TaxonomyCategory/ap-2-1-3          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Храна за птици
gid://shopify/TaxonomyCategory/ap-2-1-4          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Стойки за игра и гимнастика
gid://shopify/TaxonomyCategory/ap-2-1-5          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Стълби и кацалки
