# Shopify Product Taxonomy: 0.3.0
gid://shopify/Taxonomy/Category/aa              : Apparel & Accessories
gid://shopify/Taxonomy/Category/aa-1            : Apparel & Accessories > Clothing
gid://shopify/Taxonomy/Category/aa-1-1          : Apparel & Accessories > Clothing > Activewear
gid://shopify/Taxonomy/Category/aa-1-1-1        : Apparel & Accessories > Clothing > Activewear > Activewear Pants
gid://shopify/Taxonomy/Category/aa-1-1-1-1      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Joggers
gid://shopify/Taxonomy/Category/aa-1-1-1-2      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Leggings
gid://shopify/Taxonomy/Category/aa-1-1-1-3      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Shorts
gid://shopify/Taxonomy/Category/aa-1-1-1-4      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants
gid://shopify/Taxonomy/Category/aa-1-1-1-5      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Tights
gid://shopify/Taxonomy/Category/aa-1-1-1-6      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Track Pants
gid://shopify/Taxonomy/Category/aa-1-1-1-7      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Training Pants
gid://shopify/Taxonomy/Category/aa-1-1-1-8      : Apparel & Accessories > Clothing > Activewear > Activewear Pants > Wind Pants
gid://shopify/Taxonomy/Category/aa-1-1-7        : Apparel & Accessories > Clothing > Activewear > Activewear Sweatshirts & Hoodies
gid://shopify/Taxonomy/Category/aa-1-1-7-2      : Apparel & Accessories > Clothing > Activewear > Activewear Sweatshirts & Hoodies > Hoodies
gid://shopify/Taxonomy/Category/aa-1-1-7-3      : Apparel & Accessories > Clothing > Activewear > Activewear Sweatshirts & Hoodies > Sweaters
gid://shopify/Taxonomy/Category/aa-1-1-7-4      : Apparel & Accessories > Clothing > Activewear > Activewear Sweatshirts & Hoodies > Sweatshirts
gid://shopify/Taxonomy/Category/aa-1-1-7-5      : Apparel & Accessories > Clothing > Activewear > Activewear Sweatshirts & Hoodies > Track Jackets
gid://shopify/Taxonomy/Category/aa-1-1-2        : Apparel & Accessories > Clothing > Activewear > Activewear Tops
gid://shopify/Taxonomy/Category/aa-1-1-2-1      : Apparel & Accessories > Clothing > Activewear > Activewear Tops > Crop Tops
gid://shopify/Taxonomy/Category/aa-1-1-2-2      : Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts
gid://shopify/Taxonomy/Category/aa-1-1-2-3      : Apparel & Accessories > Clothing > Activewear > Activewear Tops > Tank Tops
gid://shopify/Taxonomy/Category/aa-1-1-8        : Apparel & Accessories > Clothing > Activewear > Activewear Vests & Jackets
gid://shopify/Taxonomy/Category/aa-1-1-8-2      : Apparel & Accessories > Clothing > Activewear > Activewear Vests & Jackets > Jackets
gid://shopify/Taxonomy/Category/aa-1-1-8-1      : Apparel & Accessories > Clothing > Activewear > Activewear Vests & Jackets > Vests
gid://shopify/Taxonomy/Category/aa-1-1-4        : Apparel & Accessories > Clothing > Activewear > Boxing Shorts
