# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Chovatelství
gid://shopify/TaxonomyCategory/ap-1              : Chovatelství > Živá zvířata
gid://shopify/TaxonomyCategory/ap-2              : Chovatelství > Potřeby pro domácí zvířata
gid://shopify/TaxonomyCategory/ap-2-1            : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky
gid://shopify/TaxonomyCategory/ap-2-1-1          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece – příslušenství
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece – příslušenství > Koupátka do ptačích klecí
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece – příslušenství > Nádoby na krmivo a vodu do ptačích klecí
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece – příslušenství > Nádoby na krmivo a vodu do ptačích klecí > Nádoby na krmivo do ptačích klecí
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece – příslušenství > Nádoby na krmivo a vodu do ptačích klecí > Nádoby na vodu do ptačích klecí
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece – příslušenství > Nádoby na krmivo a vodu do ptačích klecí > Kombinované nádoby na krmivo a vodu do ptačích klecí
gid://shopify/TaxonomyCategory/ap-2-1-2          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Ptačí klece a podstavce
gid://shopify/TaxonomyCategory/ap-2-1-3          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Krmivo pro ptáky
gid://shopify/TaxonomyCategory/ap-2-1-4          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Prolézačky pro ptáky
gid://shopify/TaxonomyCategory/ap-2-1-5          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Žebříky a bidýlka pro ptáky
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Žebříky a bidýlka pro ptáky > Žebříky a schůdky
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Žebříky a bidýlka pro ptáky > Houpačky a bidýlka
gid://shopify/TaxonomyCategory/ap-2-1-6          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Míčky a aportovací hračky
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Zvonky a korálky
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Žvýkací hračky
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Hračky na hledání potravy
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Zrcadla
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Hlavolamy a interaktivní hračky
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Lana a uzly
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Hračky pro ptáky > Tunely a trubičky
gid://shopify/TaxonomyCategory/ap-2-1-7          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ptáky > Pamlsky pro ptáky
gid://shopify/TaxonomyCategory/ap-2-2            : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-1          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Krmivo pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Krmivo pro kočky > Volně prodejné krmivo pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Krmivo pro kočky > Krmivo pro kočky na předpis
gid://shopify/TaxonomyCategory/ap-2-2-2          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Domečky pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Odpočívadla a police pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Škrabadla a sloupce pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Schůdky a rampy pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Stromy a věže pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Okenní pelíšky a odpočívadla pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Nábytek pro kočky > Venkovní domečky pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-3          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Příslušenství pro nábytek pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-4          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky > Sáčky do kočičích záchodů
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky > Podložky pod kočičí záchody
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky > Nádoby na stelivo pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-5          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Míčky a škádlítka
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Hračky se šantou kočičí
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Žvýkací hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Peříčka a škádlítka
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Interaktivní hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Laserové hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Hlavolamy a hračky na pamlsky
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Pískací hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Vycpané hračky a plyšáci
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Tunely
