# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-brilledesign
gid://shopify/TaxonomyAttribute/5399  : 3D-brilleteknologi
gid://shopify/TaxonomyAttribute/5365  : 3D-printeretuistil
gid://shopify/TaxonomyAttribute/5366  : Rengøringssæt til 3D-printer inkluderet
gid://shopify/TaxonomyAttribute/5370  : Type af harpiks til 3D-print
gid://shopify/TaxonomyAttribute/5668  : 80 Plus-effektivitetsvurdering
gid://shopify/TaxonomyAttribute/6976  : ABEC-vurdering
gid://shopify/TaxonomyAttribute/8005  : Monteringsstil for AC-kompressor
gid://shopify/TaxonomyAttribute/8006  : AC-kompressors olietype
gid://shopify/TaxonomyAttribute/5507  : ADC-opløsning
gid://shopify/TaxonomyAttribute/2649  : AI-anvendelse
gid://shopify/TaxonomyAttribute/7015  : ART-sikkerhedsvurdering
gid://shopify/TaxonomyAttribute/7017  : ASA-monteringstype
gid://shopify/TaxonomyAttribute/2703  : ATV/offroad-dæktype
gid://shopify/TaxonomyAttribute/8045  : Tilsigtet brug af ATV/UTV
gid://shopify/TaxonomyAttribute/6336  : Abacus-perlemateriale
gid://shopify/TaxonomyAttribute/8004  : Slibeniveau
gid://shopify/TaxonomyAttribute/2184  : Slibende materiale
gid://shopify/TaxonomyAttribute/7610  : Absint-tilbehør medfølger
gid://shopify/TaxonomyAttribute/1460  : Absintstil
gid://shopify/TaxonomyAttribute/1461  : Absintvariant
gid://shopify/TaxonomyAttribute/894   : Absorberingsniveau
gid://shopify/TaxonomyAttribute/2972  : Funktioner for absorberende hygiejneprodukter
gid://shopify/TaxonomyAttribute/2529  : Akademisk niveau
gid://shopify/TaxonomyAttribute/8942  : Detaljetilstande
gid://shopify/TaxonomyAttribute/6859  : Adgangsmekanisme
gid://shopify/TaxonomyAttribute/4996  : Funktioner til tilgængelighedsdesign
gid://shopify/TaxonomyAttribute/8007  : Tilgængelighedsfunktioner
gid://shopify/TaxonomyAttribute/6860  : Medfølgende tilbehør
gid://shopify/TaxonomyAttribute/2956  : Materiale til tilbehør
gid://shopify/TaxonomyAttribute/6635  : Medfølgende tilbehørsdele
gid://shopify/TaxonomyAttribute/50    : Tilbehørsstørrelse
gid://shopify/TaxonomyAttribute/2461  : Stemning af harmonika
gid://shopify/TaxonomyAttribute/8943  : Funktioner til kontrol af feedback fra akustisk forstærker
gid://shopify/TaxonomyAttribute/8944  : Komponenter til akustisk trommesæt inkluderet
gid://shopify/TaxonomyAttribute/8945  : Akustisk guitars form
gid://shopify/TaxonomyAttribute/8946  : Design af akustisk guitarstrengs kerne
gid://shopify/TaxonomyAttribute/8947  : Materiale til tangenter på akustiske klaverer
gid://shopify/TaxonomyAttribute/8948  : Lågtype på akustiske klaverer
gid://shopify/TaxonomyAttribute/8949  : Materiale til akustisk klavers ramme
gid://shopify/TaxonomyAttribute/8950  : Materiale til klangbund af akustisk klaver
gid://shopify/TaxonomyAttribute/6337  : Actionfigurstørrelse
gid://shopify/TaxonomyAttribute/6977  : Handlingstype
gid://shopify/TaxonomyAttribute/5052  : Aktiveringsmekanisme
gid://shopify/TaxonomyAttribute/4997  : Aktiveringsmetode
gid://shopify/TaxonomyAttribute/1598  : Aktiv ingrediens
gid://shopify/TaxonomyAttribute/2995  : Funktioner for sportstøj
gid://shopify/TaxonomyAttribute/5     : Aktivitet
gid://shopify/TaxonomyAttribute/1547  : Aktivitetsmålerdesign
gid://shopify/TaxonomyAttribute/6978  : Aktiveringsmekanisme
gid://shopify/TaxonomyAttribute/8008  : Aktiveringsmetode
gid://shopify/TaxonomyAttribute/1543  : Akupunkturmodelformat
gid://shopify/TaxonomyAttribute/1544  : Akupunkturmodeltype
gid://shopify/TaxonomyAttribute/5562  : Adapterretningsbestemmelse
gid://shopify/TaxonomyAttribute/5424  : Tilstande for adapterbetjening
gid://shopify/TaxonomyAttribute/6979  : Adapterretning
gid://shopify/TaxonomyAttribute/5391  : Adaptiv synkroniseringsteknologi
gid://shopify/TaxonomyAttribute/3376  : Yderligere funktioner for animationssoftware
gid://shopify/TaxonomyAttribute/5144  : Yderligere rengøringsteknologi
gid://shopify/TaxonomyAttribute/3378  : Yderligere type af designsoftware
gid://shopify/TaxonomyAttribute/3373  : Yderligere funktioner for finansiel software
gid://shopify/TaxonomyAttribute/3377  : Yderligere funktioner for grafiksoftware
gid://shopify/TaxonomyAttribute/3379  : Yderligere funktioner for udgivelsessoftware
gid://shopify/TaxonomyAttribute/3372  : Yderligere funktioner for sikkerhedssoftware
gid://shopify/TaxonomyAttribute/8951  : Additiv påføringsfase
gid://shopify/TaxonomyAttribute/5249  : Klæbemiddelpåføringstype
gid://shopify/TaxonomyAttribute/8952  : Selvklæbende bagside
gid://shopify/TaxonomyAttribute/5099  : Klæbefunktioner
gid://shopify/TaxonomyAttribute/5531  : Klæbemiddelformat
gid://shopify/TaxonomyAttribute/6980  : Klæbende mikstur
gid://shopify/TaxonomyAttribute/8953  : Selvklæbende sider
gid://shopify/TaxonomyAttribute/5207  : Klæbeevne
gid://shopify/TaxonomyAttribute/2319  : Klæbende type
gid://shopify/TaxonomyAttribute/8954  : Supplerende kornforarbejdningsform
gid://shopify/TaxonomyAttribute/8009  : Justeringstype
gid://shopify/TaxonomyAttribute/8955  : Justerbare kopdæmpere
gid://shopify/TaxonomyAttribute/6861  : Justerbare zoner
gid://shopify/TaxonomyAttribute/8010  : Justeringstype
gid://shopify/TaxonomyAttribute/6981  : Administrationsmetode
gid://shopify/TaxonomyAttribute/8956  : Type af rådgivningskort
gid://shopify/TaxonomyAttribute/6982  : Luftningsmetode
gid://shopify/TaxonomyAttribute/8011  : Aero-pakkekomponenter
gid://shopify/TaxonomyAttribute/8012  : Aerodynamiske elementer inkluderet
gid://shopify/TaxonomyAttribute/3354  : Produktform for aftershave
gid://shopify/TaxonomyAttribute/8957  : Aftertouch-understøttelse
gid://shopify/TaxonomyAttribute/7611  : Agave-indholdsklassificering
gid://shopify/TaxonomyAttribute/30    : Aldersgruppe
gid://shopify/TaxonomyAttribute/2274  : Aldersbegrænsninger
gid://shopify/TaxonomyAttribute/8958  : Aida-stofantal
gid://shopify/TaxonomyAttribute/8959  : Aida-stof i forudskåret format
gid://shopify/TaxonomyAttribute/6338  : Dele til luft- og vandraketsæt inkluderet
gid://shopify/TaxonomyAttribute/6339  : Luft- og vandrakets affyringsmetode
gid://shopify/TaxonomyAttribute/8960  : Airbag-materiale
gid://shopify/TaxonomyAttribute/6862  : Indvendig konstruktion af luftmadrasse
gid://shopify/TaxonomyAttribute/2708  : Luftfriskerform
gid://shopify/TaxonomyAttribute/5689  : Tilbehør til airfryer
gid://shopify/TaxonomyAttribute/4050  : Airfryer-funktioner
gid://shopify/TaxonomyAttribute/6983  : Airhockey-udstyr inkluderet
gid://shopify/TaxonomyAttribute/8013  : Monteringsstil for luftindsugningstemperaturføler
gid://shopify/TaxonomyAttribute/6984  : Funktionalitet til luftintegration
gid://shopify/TaxonomyAttribute/3182  : Funktioner for luftmadras
gid://shopify/TaxonomyAttribute/6985  : Luftmadrassens ventiltype
gid://shopify/TaxonomyAttribute/5690  : Luftrenserfilterteknologi
gid://shopify/TaxonomyAttribute/5691  : Luftrensers filtreringsgrad
gid://shopify/TaxonomyAttribute/5103  : Luftslangekonfiguration
gid://shopify/TaxonomyAttribute/8961  : Lufttørret lerfarvet form
gid://shopify/TaxonomyAttribute/8014  : Luftbeholders position
gid://shopify/TaxonomyAttribute/3329  : Feedtype for airbrush
gid://shopify/TaxonomyAttribute/3328  : Driftsmetode for airbrush
gid://shopify/TaxonomyAttribute/8015  : Luftfartøjs ADS-B-kapacitet
gid://shopify/TaxonomyAttribute/8016  : Luftfartøjets stelmateriale
gid://shopify/TaxonomyAttribute/8017  : Flykabineindretning
gid://shopify/TaxonomyAttribute/8018  : Dokumentation for luftfartøjet inkluderet
gid://shopify/TaxonomyAttribute/4683  : Konfiguration af flymotor
gid://shopify/TaxonomyAttribute/4682  : Flyets motortype
gid://shopify/TaxonomyAttribute/8019  : Flykøkkenindretning
gid://shopify/TaxonomyAttribute/8020  : Placering af luftfartøjsinstallation
gid://shopify/TaxonomyAttribute/8021  : Luftfartøjs internetforbindelse
gid://shopify/TaxonomyAttribute/8022  : Type landingsstel for luftfartøj
gid://shopify/TaxonomyAttribute/8023  : Konfiguration af luftfartøjets toilet
gid://shopify/TaxonomyAttribute/8024  : Tilmelding til flyvedligeholdelsesprogram
gid://shopify/TaxonomyAttribute/8025  : Operationel certificering af luftfartøjet
gid://shopify/TaxonomyAttribute/8026  : Certificering af beskyttelsesudstyr til luftfartøjet
gid://shopify/TaxonomyAttribute/8027  : Anvendelse af luftfartøjets system
gid://shopify/TaxonomyAttribute/5211  : Luftstrømsåbningens design
gid://shopify/TaxonomyAttribute/8962  : Luftmodstandsniveau
gid://shopify/TaxonomyAttribute/8028  : Luftskibets hylstermateriale
gid://shopify/TaxonomyAttribute/6986  : Airsoft-deltype
gid://shopify/TaxonomyAttribute/8029  : Luftdygtighedens godkendelsesgrundlag
gid://shopify/TaxonomyAttribute/6987  : Justering af alarmlydstyrke
gid://shopify/TaxonomyAttribute/2287  : Albumtype
gid://shopify/TaxonomyAttribute/5290  : Alkoholindhold
gid://shopify/TaxonomyAttribute/8963  : Alkoholblæk-finisheffekt
gid://shopify/TaxonomyAttribute/5679  : Alkohol-/opløsningsmiddelindhold
gid://shopify/TaxonomyAttribute/1362  : Advarselstype
gid://shopify/TaxonomyAttribute/6988  : Stil for justeringshjælp
gid://shopify/TaxonomyAttribute/1451  : Oplysninger om allergener
gid://shopify/TaxonomyAttribute/1577  : Allergentesttype
gid://shopify/TaxonomyAttribute/1631  : Allergener
gid://shopify/TaxonomyAttribute/3138  : Allergivenlige funktioner
gid://shopify/TaxonomyAttribute/8030  : Generatorkølingstype
gid://shopify/TaxonomyAttribute/8031  : Tændingsbeskyttelsens klassificering for generatorer til marineformål
gid://shopify/TaxonomyAttribute/8032  : Konfiguration af generatormontering
gid://shopify/TaxonomyAttribute/8033  : Generatorens remskivetype
gid://shopify/TaxonomyAttribute/8034  : Generatorregulatortype
gid://shopify/TaxonomyAttribute/8035  : Terminal forbindelsestype for generatoren
gid://shopify/TaxonomyAttribute/6989  : Højdeegnethed
gid://shopify/TaxonomyAttribute/8036  : Ambulancebåremonteringstype
gid://shopify/TaxonomyAttribute/6990  : Sikkerhedscertificering for amerikansk fodbold
gid://shopify/TaxonomyAttribute/5126  : Aminosyreundertype
gid://shopify/TaxonomyAttribute/1800  : Forstærkerklasse
gid://shopify/TaxonomyAttribute/2690  : Forstærkerkonfiguration
gid://shopify/TaxonomyAttribute/8964  : Forstærkerrørets funktion
gid://shopify/TaxonomyAttribute/1808  : Passende placering af forstærker/booster
gid://shopify/TaxonomyAttribute/5088  : Amputationsniveau
gid://shopify/TaxonomyAttribute/8965  : Analog synthesizer CV/Gate I/O
gid://shopify/TaxonomyAttribute/8966  : Konfiguration af analog synthesizer-taster
gid://shopify/TaxonomyAttribute/5100  : Analysestof målt
gid://shopify/TaxonomyAttribute/4998  : Anamorfisk klemmeforhold
gid://shopify/TaxonomyAttribute/5043  : Anatomisk detalje vist
gid://shopify/TaxonomyAttribute/6991  : Ankerkonfiguration
gid://shopify/TaxonomyAttribute/1258  : Ankertype
gid://shopify/TaxonomyAttribute/2198  : Anvendelse af anemometer
gid://shopify/TaxonomyAttribute/1883  : Understøttede vinkler
gid://shopify/TaxonomyAttribute/1289  : Vinklingsstil
gid://shopify/TaxonomyAttribute/5692  : Komponenter i dyreplejesæt medfølger
gid://shopify/TaxonomyAttribute/2550  : Form af dyrefoder
gid://shopify/TaxonomyAttribute/7612  : Metode til dyreopdræt
gid://shopify/TaxonomyAttribute/6340  : Dyrearter
gid://shopify/TaxonomyAttribute/6992  : Dyrefældes kæbestil
gid://shopify/TaxonomyAttribute/6993  : Type dyrefælde
gid://shopify/TaxonomyAttribute/1308  : Dyretype
gid://shopify/TaxonomyAttribute/6994  : Ankelkravestil
gid://shopify/TaxonomyAttribute/6995  : Beskyttelsesniveau for ankelbeskyttere
gid://shopify/TaxonomyAttribute/6996  : Ankelrems udfyldningstype
gid://shopify/TaxonomyAttribute/6997  : Type ankelrem
gid://shopify/TaxonomyAttribute/5519  : Telefonsvarertype
gid://shopify/TaxonomyAttribute/6341  : Type af substrat til myrekoloni
gid://shopify/TaxonomyAttribute/6342  : Myrekolonisæts indhold
gid://shopify/TaxonomyAttribute/6343  : Belysningstype for myrekoloni
gid://shopify/TaxonomyAttribute/5587  : Antenne-RF-stiktype
gid://shopify/TaxonomyAttribute/5511  : Antennestiktype
gid://shopify/TaxonomyAttribute/8037  : Antennemonteringstype
gid://shopify/TaxonomyAttribute/1828  : Antennetype
