# Shopify Product Taxonomy - Categories: 2099-02-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Dyr og tilbehør til kæledyr
gid://shopify/TaxonomyCategory/ap-1              : Dyr og tilbehør til kæledyr > Levende dyr
gid://shopify/TaxonomyCategory/ap-2              : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr
gid://shopify/TaxonomyCategory/ap-2-1            : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle
gid://shopify/TaxonomyCategory/ap-2-1-1          : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Tilbehør til fuglebure
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Tilbehør til fuglebure > Fuglebade til fuglebure
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Tilbehør til fuglebure > Fuglemad og vandbeholdere
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Tilbehør til fuglebure > Fuglemad og vandbeholdere > Madbeholdere til fugle
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Tilbehør til fuglebure > Fuglemad og vandbeholdere > Vandbeholdere til fugle
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Tilbehør til fuglebure > Fuglemad og vandbeholdere > Kombinerede mad- og vandbeholdere til fugle
gid://shopify/TaxonomyCategory/ap-2-1-2          : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Fuglebure og standere
gid://shopify/TaxonomyCategory/ap-2-1-3          : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Fuglefoder
gid://shopify/TaxonomyCategory/ap-2-1-4          : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Redskaber og legetøj til fugle
gid://shopify/TaxonomyCategory/ap-2-1-5          : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Stiger og siddepinde til fugle
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Dyr og tilbehør til kæledyr > Tilbehør til kæledyr > Tilbehør til fugle > Stiger og siddepinde til fugle > Stiger og trin
