# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-Brillen-Passform-Design
gid://shopify/TaxonomyAttribute/5399  : 3D-Brillen-Technologie
gid://shopify/TaxonomyAttribute/5365  : 3D-Drucker-Gehäusestil
gid://shopify/TaxonomyAttribute/5366  : Enthaltene Komponenten des 3D-Drucker-Reinigungssets
gid://shopify/TaxonomyAttribute/5370  : 3D-Druck-Harztyp
gid://shopify/TaxonomyAttribute/5668  : 80 Plus Effizienzbewertung
gid://shopify/TaxonomyAttribute/6976  : ABEC-Bewertung
gid://shopify/TaxonomyAttribute/8005  : Montageart für Klimakompressor
gid://shopify/TaxonomyAttribute/8006  : Öltyp des Klimaanlagen-Kompressors
gid://shopify/TaxonomyAttribute/5507  : ADC-Auflösung
gid://shopify/TaxonomyAttribute/2649  : KI-Anwendung
gid://shopify/TaxonomyAttribute/7015  : ART-Sicherheitsbewertung
gid://shopify/TaxonomyAttribute/7017  : ASA-Montageart
gid://shopify/TaxonomyAttribute/2703  : Quad-/Offroad-Reifentyp
gid://shopify/TaxonomyAttribute/8045  : ATV/UTV-Verwendungszweck
gid://shopify/TaxonomyAttribute/6336  : Abakusperlenmaterial
gid://shopify/TaxonomyAttribute/8004  : Schleifgrad
gid://shopify/TaxonomyAttribute/2184  : Schleifmaterial
gid://shopify/TaxonomyAttribute/7610  : Absinthzubehör inklusive
gid://shopify/TaxonomyAttribute/1460  : Absinth-Stil
gid://shopify/TaxonomyAttribute/1461  : Auswahl an Absinth
gid://shopify/TaxonomyAttribute/894   : Saugfähigkeitsgrad
gid://shopify/TaxonomyAttribute/2972  : Eigenschaften saugfähiger Hygieneprodukte
gid://shopify/TaxonomyAttribute/2529  : Akademischer Grad
gid://shopify/TaxonomyAttribute/8942  : Betonungsmodi
gid://shopify/TaxonomyAttribute/6859  : Zugangsmechanismus
gid://shopify/TaxonomyAttribute/4996  : Zugänglichkeits-Designmerkmale
gid://shopify/TaxonomyAttribute/8007  : Mobilitätshilfen
gid://shopify/TaxonomyAttribute/6860  : Zubehör inklusive
gid://shopify/TaxonomyAttribute/2956  : Zubehörmaterial
gid://shopify/TaxonomyAttribute/6635  : Enthaltene Accessoires
gid://shopify/TaxonomyAttribute/50    : Zubehörgröße
gid://shopify/TaxonomyAttribute/2461  : Akkordeon-Stimmung
gid://shopify/TaxonomyAttribute/8943  : Rückkopplungssteuerungsfunktionen des akustischen Verstärkers
gid://shopify/TaxonomyAttribute/8944  : Enthaltene Komponenten des akustischen Schlagzeug-Sets
gid://shopify/TaxonomyAttribute/8945  : Form des Akustikgitarrenkorpus
gid://shopify/TaxonomyAttribute/8946  : Konstruktion des Kerns von Akustikgitarrensaiten
gid://shopify/TaxonomyAttribute/8947  : Material für akustische Klaviertasten
gid://shopify/TaxonomyAttribute/8948  : Deckeltyp für akustische Klaviere
gid://shopify/TaxonomyAttribute/8949  : Material der Klavierplatte/des Klavierrahmens
gid://shopify/TaxonomyAttribute/8950  : Material für den Resonanzboden eines akustischen Klaviers
gid://shopify/TaxonomyAttribute/6337  : Maßstab der Actionfigur
gid://shopify/TaxonomyAttribute/6977  : Aktionstyp
gid://shopify/TaxonomyAttribute/5052  : Aktivierungsmechanismus
gid://shopify/TaxonomyAttribute/4997  : Aktivierungsmethode
gid://shopify/TaxonomyAttribute/1598  : Wirkstoff
gid://shopify/TaxonomyAttribute/2995  : Eigenschaften von Activewear-Kleidung
gid://shopify/TaxonomyAttribute/5     : Aktivität
gid://shopify/TaxonomyAttribute/1547  : Design des Aktivitäts-Trackers
gid://shopify/TaxonomyAttribute/6978  : Betätigungsmethode
gid://shopify/TaxonomyAttribute/8008  : Betätigungsmethode
gid://shopify/TaxonomyAttribute/1543  : Format des Akupunkturmodells
gid://shopify/TaxonomyAttribute/1544  : Typ des Akupunkturmodells
gid://shopify/TaxonomyAttribute/5562  : Richtungsart des Adapters
gid://shopify/TaxonomyAttribute/5424  : Betriebsmodi des Adapters
gid://shopify/TaxonomyAttribute/6979  : Adapterausrichtung
gid://shopify/TaxonomyAttribute/5391  : Adaptive Synchronisationstechnologie
gid://shopify/TaxonomyAttribute/3376  : Zusätzliche Funktionen der Animationssoftware
gid://shopify/TaxonomyAttribute/5144  : Zusätzliche Reinigungstechnologie
gid://shopify/TaxonomyAttribute/3378  : Zusätzlicher Design-Softwaretyp
gid://shopify/TaxonomyAttribute/3373  : Zusätzliche Funktionen der Finanzsoftware
gid://shopify/TaxonomyAttribute/3377  : Zusätzliche Funktionen der Grafiksoftware
gid://shopify/TaxonomyAttribute/3379  : Zusätzliche Funktionen der Publishing-Software
gid://shopify/TaxonomyAttribute/3372  : Zusätzliche Funktionen der Sicherheitssoftware
gid://shopify/TaxonomyAttribute/8951  : Phase der Additivzugabe
gid://shopify/TaxonomyAttribute/5249  : Anwendungstyp für Kleiber
gid://shopify/TaxonomyAttribute/8952  : Kleberückseite
gid://shopify/TaxonomyAttribute/5099  : Klebemerkmale
