# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Tiere & Tierbedarf
gid://shopify/TaxonomyCategory/ap-1              : Tiere & Tierbedarf > Lebende Tiere
gid://shopify/TaxonomyCategory/ap-2              : Tiere & Tierbedarf > Haustierbedarf
gid://shopify/TaxonomyCategory/ap-2-1            : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf
gid://shopify/TaxonomyCategory/ap-2-1-1          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfigzubehör
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfigzubehör > Vogelbäder für Vogelkäfige
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfigzubehör > Futter- & Wasserspender für Vogelkäfige
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfigzubehör > Futter- & Wasserspender für Vogelkäfige > Futterspender für Vogelkäfige
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfigzubehör > Futter- & Wasserspender für Vogelkäfige > Wasserspender für Vogelkäfige
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfigzubehör > Futter- & Wasserspender für Vogelkäfige > Futter- & Wasserspender für Vogelkäfige
gid://shopify/TaxonomyCategory/ap-2-1-2          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelkäfige & -ständer
gid://shopify/TaxonomyCategory/ap-2-1-3          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelfutter
gid://shopify/TaxonomyCategory/ap-2-1-4          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Spielvorrichtungen für Vögel
gid://shopify/TaxonomyCategory/ap-2-1-5          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelleitern & -sitzstangen
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelleitern & -sitzstangen > Leitern und Stufen
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelleitern & -sitzstangen > Schaukeln und Sitzstangen
gid://shopify/TaxonomyCategory/ap-2-1-6          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Bälle & Apportierspielzeug
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Glocken und Perlen
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Kauspielzeug
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Futtersuchspielzeug
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Spiegel
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Rätsel und interaktives Spielzeug
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Seile und Knoten
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Vogelspielzeug > Tunnel und Röhren
gid://shopify/TaxonomyCategory/ap-2-1-7          : Tiere & Tierbedarf > Haustierbedarf > Vogelbedarf > Snacks für Vögel
gid://shopify/TaxonomyCategory/ap-2-2            : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf
gid://shopify/TaxonomyCategory/ap-2-2-1          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenfutter
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenfutter > Nicht verschreibungspflichtige Katzennahrung
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenfutter > Verschreibungspflichtige Katzennahrung
gid://shopify/TaxonomyCategory/ap-2-2-2          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Kratzmöbel und Häuser für Katzen
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Katzenregale und -sitze
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Kratzbäume Katzen
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Treppen & Rampen für Katzen
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Katzenbäume und Türme
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Fensterbetten und -sitze für Katzen
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenmöbel > Katzenhäuser im Freien
gid://shopify/TaxonomyCategory/ap-2-2-3          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Zubehör für Katzenmöbel
gid://shopify/TaxonomyCategory/ap-2-2-4          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu > Einlagen für Katzentoilette
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu > Vorleger für Katzentoiletten
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu > Katzentoiletten
gid://shopify/TaxonomyCategory/ap-2-2-5          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Bälle und Jagdspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Spielzeug mit Katzenminze
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Kauspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Federn & Katzenangeln
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Interaktives Spielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Laserspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Rätsel und Futterspenderspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Quietschspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Stoff- und Plüschtiere
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Tunnel
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Angeln
gid://shopify/TaxonomyCategory/ap-2-2-6          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Leckerbissen für Katzen
gid://shopify/TaxonomyCategory/ap-2-3            : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf
gid://shopify/TaxonomyCategory/ap-2-3-1          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Einlagen für Hundewindeln
gid://shopify/TaxonomyCategory/ap-2-3-2          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundewindeln
gid://shopify/TaxonomyCategory/ap-2-3-3          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundefutter
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundefutter > Nicht verschreibungspflichtige Hundenahrung
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundefutter > Verschreibungspflichtige Hundenahrung
gid://shopify/TaxonomyCategory/ap-2-3-4          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundehütten
gid://shopify/TaxonomyCategory/ap-2-3-5          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Zubehör für Hundezwinger & -ausläufe
gid://shopify/TaxonomyCategory/ap-2-3-6          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe
