# Shopify Product Taxonomy - Categories: 9999-13-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Ζώα και προμήθειες για κατοικίδια ζώα
gid://shopify/TaxonomyCategory/ap-1              : Ζώα και προμήθειες για κατοικίδια ζώα > Ζώντα ζώα
gid://shopify/TaxonomyCategory/ap-2              : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα
gid://shopify/TaxonomyCategory/ap-2-1            : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά
gid://shopify/TaxonomyCategory/ap-2-1-1          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Αξεσουάρ κλουβιών πουλιών
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Αξεσουάρ κλουβιών πουλιών > Ποτίστρες πτηνών για κλουβιά πτηνών
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Αξεσουάρ κλουβιών πουλιών > Πιάτα φαγητού και νερού για κλουβιά πτηνών
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Αξεσουάρ κλουβιών πουλιών > Πιάτα φαγητού και νερού για κλουβιά πτηνών > Πιάτα φαγητού κλουβιού πουλιών
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Αξεσουάρ κλουβιών πουλιών > Πιάτα φαγητού και νερού για κλουβιά πτηνών > Πιάτα νερού για κλουβιά πτηνών
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Αξεσουάρ κλουβιών πουλιών > Πιάτα φαγητού και νερού για κλουβιά πτηνών > Συνδυασμένα πιάτα φαγητού και νερού σε κλουβιά πτηνών
gid://shopify/TaxonomyCategory/ap-2-1-2          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Κλουβιά & βάσεις πουλιών
gid://shopify/TaxonomyCategory/ap-2-1-3          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Τροφή για πτηνά
gid://shopify/TaxonomyCategory/ap-2-1-4          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Γυμναστήρια & σταντ παιχνιδιού για πτηνά
gid://shopify/TaxonomyCategory/ap-2-1-5          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Σκάλες & κλαδιά για πτηνά
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Σκάλες & κλαδιά για πτηνά > Σκάλες & σκαλοπάτια
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Σκάλες & κλαδιά για πτηνά > Κούνιες & κλαδιά
gid://shopify/TaxonomyCategory/ap-2-1-6          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Μπάλες & παιχνίδια ρίψης
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Κουδούνια & χάντρες
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Παιχνίδια μασήματος
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Παιχνίδια αναζήτησης τροφής
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Καθρέφτες
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Παζλ & διαδραστικά παιχνίδια
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Σχοινιά & κόμποι
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Παιχνίδια για πτηνά > Σήραγγες & σωλήνες
gid://shopify/TaxonomyCategory/ap-2-1-7          : Ζώα και προμήθειες για κατοικίδια ζώα > Προμήθειες για κατοικίδια ζώα > Προμήθειες για πτηνά > Λιχουδιές πτηνών
