# Shopify Product Taxonomy - Categories: 2025-08-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Productos para mascotas y animales
gid://shopify/TaxonomyCategory/ap-1              : Productos para mascotas y animales > Animales vivos
gid://shopify/TaxonomyCategory/ap-2              : Productos para mascotas y animales > Productos para mascotas
gid://shopify/TaxonomyCategory/ap-2-1            : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-1          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Accesorios de jaulas para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Accesorios de jaulas para pájaros > Jaulas y baños para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Accesorios de jaulas para pájaros > Bebederos y comederos de jaulas para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Accesorios de jaulas para pájaros > Bebederos y comederos de jaulas para pájaros > Comederos de jaulas para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Accesorios de jaulas para pájaros > Bebederos y comederos de jaulas para pájaros > Bebederos de jaulas para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Accesorios de jaulas para pájaros > Bebederos y comederos de jaulas para pájaros > Bebederos y comederos combinados de jaulas para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-2          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Pies y jaulas para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-3          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Comida para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-4          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Zonas de juegos y gimnasios para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-5          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Escaleras y juguetes colgantes para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Escaleras y juguetes colgantes para pájaros > Escaleras y escalones
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Escaleras y juguetes colgantes para pájaros > Columpios y juguetes colgantes
gid://shopify/TaxonomyCategory/ap-2-1-6          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Pelotas y juguetes de lanzar y traer
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Campanas y cuentas
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Juguetes para masticar
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Juguetes de búsqueda de alimento
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Espejos
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Rompecabezas y juguetes interactivos
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Cuerdas y nudos
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Juguetes para pájaros > Túneles y tubos
gid://shopify/TaxonomyCategory/ap-2-1-7          : Productos para mascotas y animales > Productos para mascotas > Productos para pájaros > Premios para pájaros
gid://shopify/TaxonomyCategory/ap-2-2            : Productos para mascotas y animales > Productos para mascotas > Productos para gatos
gid://shopify/TaxonomyCategory/ap-2-2-1          : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Comida para gatos
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Comida para gatos > Comida para gatos sin prescripción médica
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Comida para gatos > Comida para gatos con prescripción médica
gid://shopify/TaxonomyCategory/ap-2-2-2          : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Torres y casas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Posaderos y estantes para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Rascadores y postes rascadores para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Escalones y rampas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Árboles y torres para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Camas y posaderos para ventanas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Mobiliario para gatos > Casas para gatos al aire libre
gid://shopify/TaxonomyCategory/ap-2-2-3          : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Accesorios de muebles para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4          : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Arena higiénica para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Arena higiénica para gatos > Forros para cajones de gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Arena higiénica para gatos > Alfombrillas para cajones de gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Arena higiénica para gatos > Cajones de arena higiénica para gatos
gid://shopify/TaxonomyCategory/ap-2-2-5          : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Pelotas y juegos de caza
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Juguetes con hierba gatera
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Juguetes para masticar
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Plumas y cañas
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Juguetes interactivos
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Juguetes láser
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Juguetes dispensadores de golosinas y rompecabezas
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Juguetes chillones
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Peluches y juguetes con relleno
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Túneles
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Juguetes para gatos > Varitas
gid://shopify/TaxonomyCategory/ap-2-2-6          : Productos para mascotas y animales > Productos para mascotas > Productos para gatos > Premios para gatos
gid://shopify/TaxonomyCategory/ap-2-3            : Productos para mascotas y animales > Productos para mascotas > Productos para perros
gid://shopify/TaxonomyCategory/ap-2-3-1          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Fundas de pañal y cambiadores para perros
