# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-lasien istuvuuden muotoilu
gid://shopify/TaxonomyAttribute/5399  : 3D-lasien tekniikka
gid://shopify/TaxonomyAttribute/5365  : 3D-tulostimen kotelotyyli
gid://shopify/TaxonomyAttribute/5366  : 3D-tulostimen puhdistussarja komponentit mukaan lukien
gid://shopify/TaxonomyAttribute/5370  : 3D-tulostushartsin tyyppi
gid://shopify/TaxonomyAttribute/5668  : 80 Plus -tehokkuusluokitus
gid://shopify/TaxonomyAttribute/6976  : ABEC-luokitus
gid://shopify/TaxonomyAttribute/8005  : Ilmastointilaitteen kompressorin asennustapa
gid://shopify/TaxonomyAttribute/8006  : Ilmastointilaitteen kompressorin öljytyyppi
gid://shopify/TaxonomyAttribute/5507  : ADC-resoluutio
gid://shopify/TaxonomyAttribute/2649  : Tekoälysovellus
gid://shopify/TaxonomyAttribute/7015  : ART-turvallisuusluokitus
gid://shopify/TaxonomyAttribute/7017  : Ilmanlähdesovittimen kiinnitystyyppi
gid://shopify/TaxonomyAttribute/2703  : ATV-/maastorengastyyppi
gid://shopify/TaxonomyAttribute/8045  : ATV:n/UTV:n käyttötarkoitus
gid://shopify/TaxonomyAttribute/6336  : Abacus-helmimateriaali
gid://shopify/TaxonomyAttribute/8004  : Karkeusaste
gid://shopify/TaxonomyAttribute/2184  : Liimamateriaali
gid://shopify/TaxonomyAttribute/7610  : Absintin mukana tulevat lisävarusteet
gid://shopify/TaxonomyAttribute/1460  : Absinttityyppi
gid://shopify/TaxonomyAttribute/1461  : Absinttivalikoima
gid://shopify/TaxonomyAttribute/894   : Imevyystaso
gid://shopify/TaxonomyAttribute/2972  : Imukykyiset hygieniatuotteen ominaisuudet
gid://shopify/TaxonomyAttribute/2529  : Akateeminen taso
gid://shopify/TaxonomyAttribute/8942  : Korostustapa
gid://shopify/TaxonomyAttribute/6859  : Kulkumekanismi
gid://shopify/TaxonomyAttribute/4996  : Esteettömyyden suunnitteluominaisuudet
gid://shopify/TaxonomyAttribute/8007  : Esteettömyysominaisuudet
gid://shopify/TaxonomyAttribute/6860  : Mukana tulevat lisävarusteet
gid://shopify/TaxonomyAttribute/2956  : Tarvikkeiden materiaali
gid://shopify/TaxonomyAttribute/6635  : Mukana tulevat lisäosat
gid://shopify/TaxonomyAttribute/50    : Lisävarusteen koko
gid://shopify/TaxonomyAttribute/2461  : Harmonikan viritys
gid://shopify/TaxonomyAttribute/8943  : Akustisen vahvistimen äänenkierron ohjausominaisuudet
gid://shopify/TaxonomyAttribute/8944  : Akustisen rumpusetin komponentit sisältyvät lähetykseen
gid://shopify/TaxonomyAttribute/8945  : Akustisen kitaran rungon muoto
gid://shopify/TaxonomyAttribute/8946  : Akustisen kitaran kielien rakenne
gid://shopify/TaxonomyAttribute/8947  : Akustisen pianon koskettimien materiaali
gid://shopify/TaxonomyAttribute/8948  : Akustisen pianon kannen tyyppi
gid://shopify/TaxonomyAttribute/8949  : Akustisen pianon rungon/kehyksen materiaali
gid://shopify/TaxonomyAttribute/8950  : Akustisen pianon kaikupohjan materiaali
gid://shopify/TaxonomyAttribute/6337  : Toimintahahmon mittakaava
gid://shopify/TaxonomyAttribute/6977  : Toimintatyyppi
gid://shopify/TaxonomyAttribute/5052  : Aktivointimekanismi
gid://shopify/TaxonomyAttribute/4997  : Aktivointitapa
gid://shopify/TaxonomyAttribute/1598  : Vaikuttava aine
gid://shopify/TaxonomyAttribute/2995  : Urheiluvaatteiden ominaisuudet
gid://shopify/TaxonomyAttribute/5     : Aktiivisuus
gid://shopify/TaxonomyAttribute/1547  : Aktiivisuuden seurantalaitteen muotoilu
gid://shopify/TaxonomyAttribute/6978  : Käyttömekanismi
gid://shopify/TaxonomyAttribute/8008  : Aktivointitapa
gid://shopify/TaxonomyAttribute/1543  : Akupunktiomallin formaatti
gid://shopify/TaxonomyAttribute/1544  : Akupunktiomallin tyyppi
gid://shopify/TaxonomyAttribute/5562  : Sovittimen suuntaisuus
gid://shopify/TaxonomyAttribute/5424  : Sovittimen toimintatilat
gid://shopify/TaxonomyAttribute/6979  : Sovittimen suuntaisuus
gid://shopify/TaxonomyAttribute/5391  : Mukautuva synkronointitekniikka
gid://shopify/TaxonomyAttribute/3376  : Animaatioohjelmiston lisäominaisuudet
gid://shopify/TaxonomyAttribute/5144  : Lisäpuhdistusteknologia
gid://shopify/TaxonomyAttribute/3378  : Lisäsuunnitteluohjelmistotyyppi
gid://shopify/TaxonomyAttribute/3373  : Talousohjelmiston lisäominaisuudet
gid://shopify/TaxonomyAttribute/3377  : Graafisen ohjelmiston lisäominaisuudet
gid://shopify/TaxonomyAttribute/3379  : Julkaisuohjelmiston lisäominaisuudet
gid://shopify/TaxonomyAttribute/3372  : Suojausohjelmiston lisäominaisuudet
gid://shopify/TaxonomyAttribute/8951  : Lisäaineen käyttövaihe
gid://shopify/TaxonomyAttribute/5249  : Liiman käyttötyyppi
gid://shopify/TaxonomyAttribute/8952  : Liimapinta
gid://shopify/TaxonomyAttribute/5099  : Liimaominaisuudet
gid://shopify/TaxonomyAttribute/5531  : Liiman muoto
gid://shopify/TaxonomyAttribute/6980  : Liiman koostumus
gid://shopify/TaxonomyAttribute/8953  : Liimapintaiset sivut
gid://shopify/TaxonomyAttribute/5207  : Liiman voima
gid://shopify/TaxonomyAttribute/2319  : Liimatyyppi
gid://shopify/TaxonomyAttribute/8954  : Lisäviljan käsittelylomake
gid://shopify/TaxonomyAttribute/8009  : Säädettävyystyyppi
gid://shopify/TaxonomyAttribute/8955  : Säädettävät kupinvaimentimet
gid://shopify/TaxonomyAttribute/6861  : Säädettävät vyöhykkeet
gid://shopify/TaxonomyAttribute/8010  : Säätötyyppi
gid://shopify/TaxonomyAttribute/6981  : Antotapa
gid://shopify/TaxonomyAttribute/8956  : Ohjekortin kehotetyyppi
gid://shopify/TaxonomyAttribute/6982  : Ilmanvaihdon tapa
gid://shopify/TaxonomyAttribute/8011  : Aero-pakkauksen komponentit
gid://shopify/TaxonomyAttribute/8012  : Mukana tulevat aerodynaamiset elementit
gid://shopify/TaxonomyAttribute/3354  : Aftershave -tuotemuoto
gid://shopify/TaxonomyAttribute/8957  : Aftertouch-tuki
gid://shopify/TaxonomyAttribute/7611  : Agaavepitoisuusluokitus
gid://shopify/TaxonomyAttribute/30    : Ikäryhmä
gid://shopify/TaxonomyAttribute/2274  : Ikärajoitukset
gid://shopify/TaxonomyAttribute/8958  : Aida-kankaan tiheys
gid://shopify/TaxonomyAttribute/8959  : Aida-kankaan leikkausmuoto
gid://shopify/TaxonomyAttribute/6338  : Mukana tulevat ilma- ja vesirakettisarjan osat
gid://shopify/TaxonomyAttribute/6339  : Ilma- ja vesiraketin laukaisutapa
gid://shopify/TaxonomyAttribute/8960  : Ilmasäkin materiaali
gid://shopify/TaxonomyAttribute/6862  : Ilmapatjan sisäinen rakenne
gid://shopify/TaxonomyAttribute/2708  : Ilmanraikastimen olomuoto
gid://shopify/TaxonomyAttribute/5689  : Ilmafriteerauslaitteen lisävarustetyyppi
gid://shopify/TaxonomyAttribute/4050  : Kiertoilmakypsentimen toiminnot
gid://shopify/TaxonomyAttribute/6983  : Mukana tulevat ilmakiekkotuotteet
gid://shopify/TaxonomyAttribute/8013  : Ilmanoton lämpötila-anturin asennustapa
gid://shopify/TaxonomyAttribute/6984  : Ilman integrointiominaisuus
gid://shopify/TaxonomyAttribute/3182  : Ilmapatjan ominaisuudet
gid://shopify/TaxonomyAttribute/6985  : Ilmapatjan venttiilin tyyppi
gid://shopify/TaxonomyAttribute/5690  : Ilmanpuhdistimen suodatintekniikka
gid://shopify/TaxonomyAttribute/5691  : Ilmanpuhdistimen suodatusluokitus
gid://shopify/TaxonomyAttribute/5103  : Ilmaputken kokoonpano
gid://shopify/TaxonomyAttribute/8961  : Ilmakuivuvan saven värimuoto
gid://shopify/TaxonomyAttribute/8014  : Turvatyynyn sijainti
gid://shopify/TaxonomyAttribute/3329  : Airbrush-syöttötyyppi
gid://shopify/TaxonomyAttribute/3328  : Airbrush-toimintatapa
gid://shopify/TaxonomyAttribute/8015  : Lentokoneen ADS-B-kyvykkyys
gid://shopify/TaxonomyAttribute/8016  : Lentokoneen rungon materiaali
gid://shopify/TaxonomyAttribute/8017  : Lentokoneen matkustamon konfiguraatio
gid://shopify/TaxonomyAttribute/8018  : Mukana tulevat lentokoneen asiakirjat
gid://shopify/TaxonomyAttribute/4683  : Lentokoneen moottorin kokoonpano
gid://shopify/TaxonomyAttribute/4682  : Lentokoneen moottorityyppi
gid://shopify/TaxonomyAttribute/8019  : Lentokoneen keittiön konfiguraatio
gid://shopify/TaxonomyAttribute/8020  : Asennuskohta lentokoneessa
gid://shopify/TaxonomyAttribute/8021  : Lentokoneen internet-yhteys
gid://shopify/TaxonomyAttribute/8022  : Lentokoneen laskutelineiden tyyppi
gid://shopify/TaxonomyAttribute/8023  : Lentokoneen käymälän määritys
gid://shopify/TaxonomyAttribute/8024  : Lentokoneen huolto-ohjelman rekisteröinti
gid://shopify/TaxonomyAttribute/8025  : Ilma-aluksen käyttösertifiointi
gid://shopify/TaxonomyAttribute/8026  : Lentokoneen suojavarusteiden sertifiointi
gid://shopify/TaxonomyAttribute/8027  : Lentokonejärjestelmän käyttötarkoitus
gid://shopify/TaxonomyAttribute/5211  : Ilmavirta-aukkojen muotoilu
gid://shopify/TaxonomyAttribute/8962  : Ilmavirran vastustaso
gid://shopify/TaxonomyAttribute/8028  : Ilmalaivan vaipan materiaali
