# Shopify Product Taxonomy - Categories: 2025-03
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Eläinten ja lemmikkieläinten tarvikkeet
gid://shopify/TaxonomyCategory/ap-1              : Eläinten ja lemmikkieläinten tarvikkeet > Elävät eläimet
gid://shopify/TaxonomyCategory/ap-2              : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet
gid://shopify/TaxonomyCategory/ap-2-1            : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet
gid://shopify/TaxonomyCategory/ap-2-1-1          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkkien lisävarusteet
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkkien lisävarusteet > Lintuhäkkien kylpyaltaat
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkkien lisävarusteet > Lintuhäkin ruoka- ja juoma-astiat
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkkien lisävarusteet > Lintuhäkin ruoka- ja juoma-astiat > Lintuhäkin ruoka-astiat
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkkien lisävarusteet > Lintuhäkin ruoka- ja juoma-astiat > Lintuhäkin juoma-astiat
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkkien lisävarusteet > Lintuhäkin ruoka- ja juoma-astiat > Yhdistetyt lintuhäkin ruoka- ja juoma-astiat
gid://shopify/TaxonomyCategory/ap-2-1-2          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintuhäkit ja telineet
gid://shopify/TaxonomyCategory/ap-2-1-3          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen ruoka
gid://shopify/TaxonomyCategory/ap-2-1-4          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen kiipeily- ja leikkitelineet
gid://shopify/TaxonomyCategory/ap-2-1-5          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen tikkaat ja oksat
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen tikkaat ja oksat > Tikkaat ja portaat
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen tikkaat ja oksat > Keinut ja orret
gid://shopify/TaxonomyCategory/ap-2-1-6          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Pallot ja noutolelut
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Kellot ja helmet
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Purulelut
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Ravinnonetsimislelut
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Peilit
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Pulmapelit ja interaktiiviset lelut
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Köydet ja solmut
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen lelut > Tunnelit ja putket
gid://shopify/TaxonomyCategory/ap-2-1-7          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Lintujen tarvikkeet > Lintujen herkut
gid://shopify/TaxonomyCategory/ap-2-2            : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet
gid://shopify/TaxonomyCategory/ap-2-2-1          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen ruoka
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen ruoka > Ilman reseptiä saatava kissanruoka
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen ruoka > Kissojen erikoisruoka
gid://shopify/TaxonomyCategory/ap-2-2-2          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Kissojen asunnot ja talot
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Kissojen tasot ja hyllyt
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Raapimalevyt ja -pinnat
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Kissojen portaat ja rampit
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Raapimapuut ja -tornit
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Kissojen ikkunapedit ja tasot
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalut > Kissojen ulkotalot
gid://shopify/TaxonomyCategory/ap-2-2-3          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen huonekalujen lisävarusteet
gid://shopify/TaxonomyCategory/ap-2-2-4          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissanhiekka
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissanhiekka > Kissan hiekkalaatikon suojapussit
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissanhiekka > Kissan hiekkalaatikon edusmatot
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissanhiekka > Kissan hiekkalaatikot
gid://shopify/TaxonomyCategory/ap-2-2-5          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Pallot ja jahdattavat lelut
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Kissanminttulelut
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Purulelut
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Höyhenet ja lelutikut
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Interaktiiviset lelut
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Laserlelut
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Pulma- ja herkkulelut
