# Shopify Product Taxonomy - Categories: 0.18.0
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animaux et articles pour animaux de compagnie
gid://shopify/TaxonomyCategory/ap-1              : Animaux et articles pour animaux de compagnie > Animaux vivants
gid://shopify/TaxonomyCategory/ap-2              : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie
gid://shopify/TaxonomyCategory/ap-2-1            : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-1          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Accessoires pour cages à oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Accessoires pour cages à oiseaux > Baignoires pour cages à oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Accessoires pour cages à oiseaux > Mangeoires et abreuvoirs pour cages à oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Accessoires pour cages à oiseaux > Mangeoires et abreuvoirs pour cages à oiseaux > Mangeoires pour cages à oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Accessoires pour cages à oiseaux > Mangeoires et abreuvoirs pour cages à oiseaux > Abreuvoirs pour cages à oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Accessoires pour cages à oiseaux > Mangeoires et abreuvoirs pour cages à oiseaux > Mangeoires et abreuvoirs pour cages à oiseaux combinés
gid://shopify/TaxonomyCategory/ap-2-1-2          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Cages et perchoirs à oiseaux
gid://shopify/TaxonomyCategory/ap-2-1-3          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour oiseaux > Nourriture pour oiseaux
