# Shopify Product Taxonomy - Categories: 2025-09
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Životinje i potrepštine za kućne ljubimce
gid://shopify/TaxonomyCategory/ap-1              : Životinje i potrepštine za kućne ljubimce > Žive životinje
gid://shopify/TaxonomyCategory/ap-2              : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce
gid://shopify/TaxonomyCategory/ap-2-1            : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1          : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Dodaci za kaveze za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Dodaci za kaveze za ptice > Kadice za kaveze za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Dodaci za kaveze za ptice > Hranilice i pojilice za kaveze za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Dodaci za kaveze za ptice > Hranilice i pojilice za kaveze za ptice > Hranilice za kaveze za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Dodaci za kaveze za ptice > Hranilice i pojilice za kaveze za ptice > Pojilice za kaveze za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Dodaci za kaveze za ptice > Hranilice i pojilice za kaveze za ptice > Kombinirane hranilice i pojilice za kaveze za ptice
gid://shopify/TaxonomyCategory/ap-2-1-2          : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Kavezi i stalci za ptice
gid://shopify/TaxonomyCategory/ap-2-1-3          : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Hrana za ptice
gid://shopify/TaxonomyCategory/ap-2-1-4          : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Penjalice i stalci za igru za ptice
gid://shopify/TaxonomyCategory/ap-2-1-5          : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Ljestve i prečke za ptice
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Ljestve i prečke za ptice > Ljestve i stepenice
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Ljestve i prečke za ptice > Ljuljačke i prečke
gid://shopify/TaxonomyCategory/ap-2-1-6          : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Igračke za ptice
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Igračke za ptice > Lopte i igračke za donošenje
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Igračke za ptice > Zvona i perle
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Igračke za ptice > Igračke za žvakanje
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Životinje i potrepštine za kućne ljubimce > Potrepštine za kućne ljubimce > Potrepštine za ptice > Igračke za ptice > Igračke za traženje hrane
