# Shopify Product Taxonomy - Categories: 2025-04
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Állatok és kisállatkellékek
gid://shopify/TaxonomyCategory/ap-1              : Állatok és kisállatkellékek > Élő állatok
gid://shopify/TaxonomyCategory/ap-2              : Állatok és kisállatkellékek > Háziállat-kellékek
gid://shopify/TaxonomyCategory/ap-2-1            : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek
gid://shopify/TaxonomyCategory/ap-2-1-1          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrec-kiegészítők
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrec-kiegészítők > Madárketrec-madárfürdők
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrec-kiegészítők > Madárketrec ételes és vizes tálak
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrec-kiegészítők > Madárketrec ételes és vizes tálak > Madárketrec ételes tálak
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrec-kiegészítők > Madárketrec ételes és vizes tálak > Madárketrec vizes tálak
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrec-kiegészítők > Madárketrec ételes és vizes tálak > Kombinált madárketrec ételes és vizes tálak
gid://shopify/TaxonomyCategory/ap-2-1-2          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárketrecek és -állványok
gid://shopify/TaxonomyCategory/ap-2-1-3          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madáreledel
gid://shopify/TaxonomyCategory/ap-2-1-4          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madáredzőtermek és játszóállványok
