# Shopify Product Taxonomy - Categories: 2025-12
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Hewan & Perlengkapan Hewan Piaraan
gid://shopify/TaxonomyCategory/ap-1              : Hewan & Perlengkapan Hewan Piaraan > Hewan Hidup
gid://shopify/TaxonomyCategory/ap-2              : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan
gid://shopify/TaxonomyCategory/ap-2-1            : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung
gid://shopify/TaxonomyCategory/ap-2-1-1          : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Aksesori Sangkar Burung
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Aksesori Sangkar Burung > Pemandian Burung Sangkar Burung
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Aksesori Sangkar Burung > Piring Makanan & Air Sangkar Burung
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Aksesori Sangkar Burung > Piring Makanan & Air Sangkar Burung > Piring Makanan Sangkar Burung
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Aksesori Sangkar Burung > Piring Makanan & Air Sangkar Burung > Piring Air Sangkar Burung
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Aksesori Sangkar Burung > Piring Makanan & Air Sangkar Burung > Kombinasi Piring Makanan & Air Kandang Burung
gid://shopify/TaxonomyCategory/ap-2-1-2          : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Sangkar & Stand Burung
gid://shopify/TaxonomyCategory/ap-2-1-3          : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Makanan Burung
gid://shopify/TaxonomyCategory/ap-2-1-4          : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Tempat Bermain & Olahraga Burung
gid://shopify/TaxonomyCategory/ap-2-1-5          : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Tangga & Tenggeran Burung
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Tangga & Tenggeran Burung > Tangga & Anak Tangga
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Tangga & Tenggeran Burung > Ayunan & Tenggeran
gid://shopify/TaxonomyCategory/ap-2-1-6          : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Mainan Burung
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Mainan Burung > Bola & Mainan Ambil Barang
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Mainan Burung > Lonceng & Manik-Manik
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Mainan Burung > Mainan Kunyah
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Mainan Burung > Mainan Mencari Makan
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Burung > Mainan Burung > Cermin
