# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/ap, full_name: TBD => product_category_id: ["1"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-1, full_name: TBD => product_category_id: ["3237"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2, full_name: TBD => product_category_id: ["2"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1, full_name: TBD => product_category_id: ["3"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1, full_name: TBD => product_category_id: ["7385"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-1, full_name: TBD => product_category_id: ["499954"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-2, full_name: TBD => product_category_id: ["7386"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-2-1, full_name: TBD => product_category_id: ["7386"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-2-2, full_name: TBD => product_category_id: ["7386"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-2-3, full_name: TBD => product_category_id: ["7386"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-2, full_name: TBD => product_category_id: ["4989"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-3, full_name: TBD => product_category_id: ["4990"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-3-1, full_name: TBD => product_category_id: ["4990"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-3-2, full_name: TBD => product_category_id: ["4990"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-3-3, full_name: TBD => product_category_id: ["4990"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-4, full_name: TBD => product_category_id: ["7398"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-5, full_name: TBD => product_category_id: ["4991"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-5-1, full_name: TBD => product_category_id: ["4991"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-5-2, full_name: TBD => product_category_id: ["4991"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-1, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-2, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-3, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-4, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-5, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-7, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-8, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6-9, full_name: TBD => product_category_id: ["4992"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-1, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-2, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-3, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-4, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-5, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-6, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-7, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-8, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7-9, full_name: TBD => product_category_id: ["4993"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2, full_name: TBD => product_category_id: ["4"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-1, full_name: TBD => product_category_id: ["3367"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-1-1, full_name: TBD => product_category_id: ["543684"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-1-2, full_name: TBD => product_category_id: ["543683"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-1, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-2, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-3, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-4, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-5, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-6, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2-7, full_name: TBD => product_category_id: ["4997"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-3, full_name: TBD => product_category_id: ["500059"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4, full_name: TBD => product_category_id: ["4999"], full_name: TBD     
