# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/1, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/2, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/3, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/4, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/5, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/6, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/7, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-1-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/8, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/9, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/10, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/11, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/12, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/13, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-1-7, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/14, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/15, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/16, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/17, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/18, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-1-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/19, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-1-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/20, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/21, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/22, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/23, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/24, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/25, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/26, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/27, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/28, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/29, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/30, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/31, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/32, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/33, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/34, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-3-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/35, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-3-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/36, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/37, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/38, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/39, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-7, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/40, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-8, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/41, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/42, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/43, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/44, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/45, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/46, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/47, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/48, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-6, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/49, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-7, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/50, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-8, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/51, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/52, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-10, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/53, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-11, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/54, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-12, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/55, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-13, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/56, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-14, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/57, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-15, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/58, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-16, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/59, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/60, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-7, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/61, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-8, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/62, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-10, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/63, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-11, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/64, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-11-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/65, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-11-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/66, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-11-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/67, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-12, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/68, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-13, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/69, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-14, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/70, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-15, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/71, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-16, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/72, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-17, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/73, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-18, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/74, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-19, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/75, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-20, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/76, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-21, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/77, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-22, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/78, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-23, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/79, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-24, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/80, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-25, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/81, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-26, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/82, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-26-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/83, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-26-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/84, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-26-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/85, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-26-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/86, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/ap-2-26-5, full_name: TBD
