# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Articoli per animali
gid://shopify/TaxonomyCategory/ap-1              : Articoli per animali > Animali vivi
gid://shopify/TaxonomyCategory/ap-2              : Articoli per animali > Animali domestici - Articoli
gid://shopify/TaxonomyCategory/ap-2-1            : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-1          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Accessori per gabbie per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Accessori per gabbie per uccelli > Vasche per gabbie per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Accessori per gabbie per uccelli > Contenitori per acqua e cibo per gabbie per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Accessori per gabbie per uccelli > Contenitori per acqua e cibo per gabbie per uccelli > Piatti per alimenti per gabbie per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Accessori per gabbie per uccelli > Contenitori per acqua e cibo per gabbie per uccelli > Piatti per acqua per gabbie per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Accessori per gabbie per uccelli > Contenitori per acqua e cibo per gabbie per uccelli > Piatti combinati per cibo e acqua per gabbie per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-2          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Gabbie e trespoli per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-3          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Mangime per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-4          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Palestre e giochi per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-5          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Scalette e trespoli per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Scalette e trespoli per uccelli > Scale e gradini
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Scalette e trespoli per uccelli > Altalene e trespoli
gid://shopify/TaxonomyCategory/ap-2-1-6          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Palle e giochi da riporto
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Campane e perline
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Giocattoli da masticare
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Giocattoli di foraggiamento
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Specchi
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Puzzle e giocattoli interattivi
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Corde e nodi
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Giochi per uccelli > Tunnel e tubi
gid://shopify/TaxonomyCategory/ap-2-1-7          : Articoli per animali > Animali domestici - Articoli > Articoli per uccelli > Snack per uccelli
gid://shopify/TaxonomyCategory/ap-2-2            : Articoli per animali > Animali domestici - Articoli > Articoli per gatti
gid://shopify/TaxonomyCategory/ap-2-2-1          : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Cibo per gatti
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Cibo per gatti > Cibo per gatti non soggetto a prescrizione
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Cibo per gatti > Cibo per gatti soggetto a prescrizione
gid://shopify/TaxonomyCategory/ap-2-2-2          : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Arredi per gatti
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Arredi per gatti > Condomini e case per gatti
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Arredi per gatti > Trespoli e scaffali per gatti
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Arredi per gatti > Tiragraffi per gatti
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Arredi per gatti > Gradini e rampe per gatti
