# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3Dメガネのフィットデザイン
gid://shopify/TaxonomyAttribute/5399  : 3Dメガネ技術
gid://shopify/TaxonomyAttribute/5365  : 3Dプリンターケースのスタイル
gid://shopify/TaxonomyAttribute/5366  : 3Dプリンタークリーニングキット付属コンポーネント
gid://shopify/TaxonomyAttribute/5370  : 3Dプリンティング樹脂タイプ
gid://shopify/TaxonomyAttribute/5668  : 80 Plus効率評価
gid://shopify/TaxonomyAttribute/6976  : ABEC等級
gid://shopify/TaxonomyAttribute/8005  : エアコンコンプレッサーの取り付けスタイル
gid://shopify/TaxonomyAttribute/8006  : エアコンコンプレッサーオイルの種類
gid://shopify/TaxonomyAttribute/5507  : ADC解像度
gid://shopify/TaxonomyAttribute/2649  : AIの用途
gid://shopify/TaxonomyAttribute/7015  : ARTセキュリティ評価
gid://shopify/TaxonomyAttribute/7017  : ASAマウントタイプ
gid://shopify/TaxonomyAttribute/2703  : ATV/オフロード用タイヤの種類
gid://shopify/TaxonomyAttribute/8045  : ATV／UTV使用目的
gid://shopify/TaxonomyAttribute/6336  : そろばん玉の材料
gid://shopify/TaxonomyAttribute/8004  : 研磨レベル
gid://shopify/TaxonomyAttribute/2184  : 研磨材
gid://shopify/TaxonomyAttribute/7610  : アブサンアクセサリー付き
gid://shopify/TaxonomyAttribute/1460  : アブサンスタイル
gid://shopify/TaxonomyAttribute/1461  : アブサンの種類
gid://shopify/TaxonomyAttribute/894   : 吸収レベル
gid://shopify/TaxonomyAttribute/2972  : 吸収性衛生商品の特徴
gid://shopify/TaxonomyAttribute/2529  : 学位のレベル
gid://shopify/TaxonomyAttribute/8942  : アクセントMode
gid://shopify/TaxonomyAttribute/6859  : アクセスメカニズム
gid://shopify/TaxonomyAttribute/4996  : アクセシビリティ設計機能
gid://shopify/TaxonomyAttribute/8007  : アクセシビリティ機能
gid://shopify/TaxonomyAttribute/6860  : アクセサリー付き
gid://shopify/TaxonomyAttribute/2956  : アクセサリー素材
gid://shopify/TaxonomyAttribute/6635  : アクセサリーピース付き
gid://shopify/TaxonomyAttribute/50    : アクセサリーのサイズ
gid://shopify/TaxonomyAttribute/2461  : アコーディオンの調律
gid://shopify/TaxonomyAttribute/8943  : 音響アンプのフィードバック制御機能
gid://shopify/TaxonomyAttribute/8944  : アコースティックドラムキットの構成部品が含まれています
gid://shopify/TaxonomyAttribute/8945  : アコースティックギターのボディ形状
gid://shopify/TaxonomyAttribute/8946  : アコースティックギター弦コアデザイン
gid://shopify/TaxonomyAttribute/8947  : アコースティックピアノの鍵盤素材
gid://shopify/TaxonomyAttribute/8948  : アコースティックピアノの蓋タイプ
gid://shopify/TaxonomyAttribute/8949  : アコースティックピアノのプレート／フレーム材
gid://shopify/TaxonomyAttribute/8950  : アコースティックピアノの響板材
gid://shopify/TaxonomyAttribute/6337  : アクションフィギュア拡大
gid://shopify/TaxonomyAttribute/6977  : アクションタイプ
gid://shopify/TaxonomyAttribute/5052  : 起動メカニズム
gid://shopify/TaxonomyAttribute/4997  : アクティブ化の方法
gid://shopify/TaxonomyAttribute/1598  : 有効成分
gid://shopify/TaxonomyAttribute/2995  : アクティブウェアウェアの特徴
gid://shopify/TaxonomyAttribute/5     : アクティビティ
gid://shopify/TaxonomyAttribute/1547  : 活動量計の種類
gid://shopify/TaxonomyAttribute/6978  : 作動機構
gid://shopify/TaxonomyAttribute/8008  : 作動方法
gid://shopify/TaxonomyAttribute/1543  : 鍼灸模型の大きさ
gid://shopify/TaxonomyAttribute/1544  : 鍼灸模型の種類
gid://shopify/TaxonomyAttribute/5562  : アダプターの方向性
gid://shopify/TaxonomyAttribute/5424  : アダプター動作モード
gid://shopify/TaxonomyAttribute/6979  : アダプターの向き
gid://shopify/TaxonomyAttribute/5391  : アダプティブシンク技術
gid://shopify/TaxonomyAttribute/3376  : アニメーションソフトウェアの追加機能
gid://shopify/TaxonomyAttribute/5144  : 付加クリーニング技術
gid://shopify/TaxonomyAttribute/3378  : 追加の設計ソフトウェアタイプ
gid://shopify/TaxonomyAttribute/3373  : その他の金融ソフトウェア機能
gid://shopify/TaxonomyAttribute/3377  : その他のグラフィックソフトウェア機能
gid://shopify/TaxonomyAttribute/3379  : その他のパブリッシングソフトウェア機能
gid://shopify/TaxonomyAttribute/3372  : その他のセキュリティソフトウェア機能
gid://shopify/TaxonomyAttribute/8951  : 追加アプリ段階
gid://shopify/TaxonomyAttribute/5249  : 接着剤アプリケーションタイプ
gid://shopify/TaxonomyAttribute/8952  : 粘着剤付き
gid://shopify/TaxonomyAttribute/5099  : 粘着機能
gid://shopify/TaxonomyAttribute/5531  : 接着剤の形式
gid://shopify/TaxonomyAttribute/6980  : 接着剤の配合
gid://shopify/TaxonomyAttribute/8953  : 粘着面
gid://shopify/TaxonomyAttribute/5207  : 粘着強度
gid://shopify/TaxonomyAttribute/2319  : 粘着タイプ
gid://shopify/TaxonomyAttribute/8954  : 補助穀物加工形態
gid://shopify/TaxonomyAttribute/8009  : 調整タイプ
gid://shopify/TaxonomyAttribute/8955  : 調節可能なカップミュート
gid://shopify/TaxonomyAttribute/6861  : 調整可能なゾーン
gid://shopify/TaxonomyAttribute/8010  : 調整タイプ
gid://shopify/TaxonomyAttribute/6981  : 投与方法
gid://shopify/TaxonomyAttribute/8956  : アドバイスカードのプロンプトタイプ
gid://shopify/TaxonomyAttribute/6982  : 通気方法
gid://shopify/TaxonomyAttribute/8011  : エアロパッケージの構成部品
gid://shopify/TaxonomyAttribute/8012  : 空力要素が含まれています
gid://shopify/TaxonomyAttribute/3354  : アフターシェーブ商品フォーム
gid://shopify/TaxonomyAttribute/8957  : アフタータッチサポート
gid://shopify/TaxonomyAttribute/7611  : アガベ（リュウゼツラン）のコンテンツ分類
gid://shopify/TaxonomyAttribute/30    : 年齢層
gid://shopify/TaxonomyAttribute/2274  : 年齢制限
gid://shopify/TaxonomyAttribute/8958  : アイーダ布の目数
