# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : ペット・ペット用品
gid://shopify/TaxonomyCategory/ap-1              : ペット・ペット用品 > ペット
gid://shopify/TaxonomyCategory/ap-2              : ペット・ペット用品 > ペット用品
gid://shopify/TaxonomyCategory/ap-2-1            : ペット・ペット用品 > ペット用品 > 鳥用品
gid://shopify/TaxonomyCategory/ap-2-1-1          : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご関連用品
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご関連用品 > 鳥かご、バードバス
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご関連用品 > 鳥かご用餌入れ・水入れ
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご関連用品 > 鳥かご用餌入れ・水入れ > 鳥かご用餌入れ
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご関連用品 > 鳥かご用餌入れ・水入れ > 鳥かご用水入れ
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご関連用品 > 鳥かご用餌入れ・水入れ > 鳥かご用餌・水入れ
gid://shopify/TaxonomyCategory/ap-2-1-2          : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥かご・鳥かご用スタンド
gid://shopify/TaxonomyCategory/ap-2-1-3          : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用フード
gid://shopify/TaxonomyCategory/ap-2-1-4          : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用アスレチック・プレイスタンド
gid://shopify/TaxonomyCategory/ap-2-1-5          : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用はしご・止まり木
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用はしご・止まり木 > はしご・ステップ
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用はしご・止まり木 > ブランコと止まり木
gid://shopify/TaxonomyCategory/ap-2-1-6          : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > ボール&投げるおもちゃ
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > ベル・ビーズ
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > 噛むおもちゃ
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > フォージングトイ
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > 鏡
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > パズル・インタラクティブトイ
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > ロープ・結び目
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : ペット・ペット用品 > ペット用品 > 鳥用品 > 鳥用おもちゃ > トンネル・チューブ
