# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 동물/반려동물 용품
gid://shopify/TaxonomyCategory/ap-1              : 동물/반려동물 용품 > 동물
gid://shopify/TaxonomyCategory/ap-2              : 동물/반려동물 용품 > 반려동물 용품
gid://shopify/TaxonomyCategory/ap-2-1            : 동물/반려동물 용품 > 반려동물 용품 > 새 용품
gid://shopify/TaxonomyCategory/ap-2-1-1          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장 부대용품
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장 부대용품 > 새장용 물통
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장 부대용품 > 새 모이 그릇/물통
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장 부대용품 > 새 모이 그릇/물통 > 새 모이 그릇
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장 부대용품 > 새 모이 그릇/물통 > 새 물통
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장 부대용품 > 새 모이 그릇/물통 > 새 모이 그릇/물통 일체형
gid://shopify/TaxonomyCategory/ap-2-1-2          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새장/스탠드
gid://shopify/TaxonomyCategory/ap-2-1-3          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 모이
gid://shopify/TaxonomyCategory/ap-2-1-4          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 놀이터
gid://shopify/TaxonomyCategory/ap-2-1-5          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 사다리/홰
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 사다리/홰 > 사다리/계단
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 사다리/홰 > 그네/홰
gid://shopify/TaxonomyCategory/ap-2-1-6          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 공/페치 장난감
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 종/비즈
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 씹는 장난감
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 수집 장난감
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 거울
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 퍼즐/반응형 장난감
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 끈/매듭
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 장난감 > 터널/튜브
gid://shopify/TaxonomyCategory/ap-2-1-7          : 동물/반려동물 용품 > 반려동물 용품 > 새 용품 > 새 간식
gid://shopify/TaxonomyCategory/ap-2-2            : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품
gid://shopify/TaxonomyCategory/ap-2-2-1          : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 사료
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 사료 > 비처방 고양이 사료
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 사료 > 처방 고양이 사료
gid://shopify/TaxonomyCategory/ap-2-2-2          : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 반려묘 콘도/집
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 반려묘 선반
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 반려묘 스크래처/스크래처 기둥
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 반려묘 계단/경사대
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 캣트리/캣타워
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 반려묘 창문 침대/선반
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 > 반려묘 실외 하우스
gid://shopify/TaxonomyCategory/ap-2-2-3          : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 가구 부대용품
gid://shopify/TaxonomyCategory/ap-2-2-4          : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 모래
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 모래 > 반려묘 화장실 라이너
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 모래 > 반려묘 모래상자 매트
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 모래 > 반려묘 모래상자
gid://shopify/TaxonomyCategory/ap-2-2-5          : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 공/사냥놀이
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 캣닢 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 씹는 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 깃털/티저
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 반응형 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 레이저 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 퍼즐/간식 디스펜서 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 소리나는 장난감
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 봉제 인형
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 터널
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 장난감 > 낚싯대
gid://shopify/TaxonomyCategory/ap-2-2-6          : 동물/반려동물 용품 > 반려동물 용품 > 반려묘용품 > 반려묘 간식
gid://shopify/TaxonomyCategory/ap-2-3            : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품
gid://shopify/TaxonomyCategory/ap-2-3-1          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 기저귀 패드/라이너
gid://shopify/TaxonomyCategory/ap-2-3-2          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 기저귀
gid://shopify/TaxonomyCategory/ap-2-3-3          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 사료
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 사료 > 비처방 강아지 사료
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 사료 > 처방 강아지 사료
gid://shopify/TaxonomyCategory/ap-2-3-4          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 개집
gid://shopify/TaxonomyCategory/ap-2-3-5          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장 부대용품
gid://shopify/TaxonomyCategory/ap-2-3-6          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장 > 반려견 울타리
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장 > 반려견 운동장
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장 > 실내용 반려견 집
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장 > 실외용 반려견 집
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 집/운동장 > 이동식 반려견 집
gid://shopify/TaxonomyCategory/ap-2-3-7          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 장난감
gid://shopify/TaxonomyCategory/ap-2-3-8          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 러닝머신
gid://shopify/TaxonomyCategory/ap-2-3-9          : 동물/반려동물 용품 > 반려동물 용품 > 반려견 용품 > 반려견 간식
gid://shopify/TaxonomyCategory/ap-2-4            : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품
gid://shopify/TaxonomyCategory/ap-2-4-1          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관/연못 튜브
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관/연못 튜브 > 공기 관
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관/연못 튜브 > 코일 튜브
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관/연못 튜브 > 연질 튜브
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관/연못 튜브 > 경질 튜브
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관/연못 튜브 > 표준 튜브
gid://shopify/TaxonomyCategory/ap-2-4-2          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 에어스톤/디퓨저
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 에어스톤/디퓨저 > 에어 디퓨저
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 에어스톤/디퓨저 > 디스크 에어스톤
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 에어스톤/디퓨저 > 표준 에어스톤
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 에어스톤/디퓨저 > 튜브 에어스톤
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 에어스톤/디퓨저 > 벽면 에어스톤
gid://shopify/TaxonomyCategory/ap-2-4-3          : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품 > 조류 스크래퍼
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품 > 수족관 장갑
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품 > 청소 브러시
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품 > 청소 세제
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품 > 자갈 진공청소기
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 청소 용품 > 스크럽 패드
