# Shopify Product Taxonomy - Categories: 2025-11-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Gyvūnai ir prekės naminiams gyvūnams
gid://shopify/TaxonomyCategory/ap-1              : Gyvūnai ir prekės naminiams gyvūnams > Gyvi gyvūnai
gid://shopify/TaxonomyCategory/ap-2              : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams
gid://shopify/TaxonomyCategory/ap-2-1            : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams
gid://shopify/TaxonomyCategory/ap-2-1-1          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narvelių priedai
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narvelių priedai > Vonelės paukščių narveliams
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narvelių priedai > Maisto ir vandens indeliai paukščių narveliams
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narvelių priedai > Maisto ir vandens indeliai paukščių narveliams > Maisto indeliai paukščių narveliams
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narvelių priedai > Maisto ir vandens indeliai paukščių narveliams > Vandens indeliai paukščių narveliams
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narvelių priedai > Maisto ir vandens indeliai paukščių narveliams > Kombinuoti maisto ir vandens indeliai paukščių narveliams
gid://shopify/TaxonomyCategory/ap-2-1-2          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių narveliai ir stovai
gid://shopify/TaxonomyCategory/ap-2-1-3          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Paukščių lesalas
gid://shopify/TaxonomyCategory/ap-2-1-4          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Sporto įranga ir žaidimų stendai paukščiams
gid://shopify/TaxonomyCategory/ap-2-1-5          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Kopėtėlės ir laktos paukščiams
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Kopėtėlės ir laktos paukščiams > Kopėtėlės ir laipteliai
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Kopėtėlės ir laktos paukščiams > Sūpynės ir laktos
gid://shopify/TaxonomyCategory/ap-2-1-6          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Kamuoliai ir atnešami žaislai
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Varpeliai ir karoliukai
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Kramtomi žaislai
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Maitinimosi žaislai
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Veidrodėliai
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Galvosūkiai ir interaktyvūs žaislai
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Virvės ir mazgai
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Žaislai paukščiams > Tuneliai ir vamzdžiai
gid://shopify/TaxonomyCategory/ap-2-1-7          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės paukščiams > Skanėstai paukščiams
gid://shopify/TaxonomyCategory/ap-2-2            : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms
gid://shopify/TaxonomyCategory/ap-2-2-1          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių maistas
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių maistas > Nereceptinis kačių maistas
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių maistas > Receptinis kačių maistas
gid://shopify/TaxonomyCategory/ap-2-2-2          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms > Medžiai ir namai katėms
