# Shopify Product Taxonomy - Mappings: 0.17.0
# Format:
# {input_taxonomy_version} -> {output_taxonomy_version} # Mappings A start
# ...
# {input_category_id} -> {output_category_id}
# ...
# {input_taxonomy_version} -> {output_taxonomy_version} # Mappings A end, Mappings B start
# ...
# {input_category_id} -> {output_category_id}
# ...

shopify/2024-04 -> google/2021-09-21
gid://shopify/TaxonomyCategory/ap                => 1                                               
gid://shopify/TaxonomyCategory/ap-1              => 3237                                            
gid://shopify/TaxonomyCategory/ap-2              => 2                                               
gid://shopify/TaxonomyCategory/ap-2-1            => 3                                               
gid://shopify/TaxonomyCategory/ap-2-1-1          => 7385                                            
gid://shopify/TaxonomyCategory/ap-2-1-1-1        => 499954                                          
gid://shopify/TaxonomyCategory/ap-2-1-1-2        => 7386                                            
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      => 7386                                            
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      => 7386                                            
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      => 7386                                            
gid://shopify/TaxonomyCategory/ap-2-1-2          => 4989                                            
gid://shopify/TaxonomyCategory/ap-2-1-3          => 4990                                            
gid://shopify/TaxonomyCategory/ap-2-1-3-1        => 4990                                            
gid://shopify/TaxonomyCategory/ap-2-1-3-2        => 4990                                            
gid://shopify/TaxonomyCategory/ap-2-1-3-3        => 4990                                            
gid://shopify/TaxonomyCategory/ap-2-1-4          => 7398                                            
gid://shopify/TaxonomyCategory/ap-2-1-5          => 4991                                            
gid://shopify/TaxonomyCategory/ap-2-1-5-1        => 4991                                            
gid://shopify/TaxonomyCategory/ap-2-1-5-2        => 4991                                            
gid://shopify/TaxonomyCategory/ap-2-1-6          => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-1        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-2        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-3        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-4        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-5        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-7        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-8        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-6-9        => 4992                                            
gid://shopify/TaxonomyCategory/ap-2-1-7          => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-1        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-2        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-3        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-4        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-5        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-6        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-7        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-8        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-1-7-9        => 4993                                            
gid://shopify/TaxonomyCategory/ap-2-2            => 4                                               
gid://shopify/TaxonomyCategory/ap-2-2-1          => 3367                                            
gid://shopify/TaxonomyCategory/ap-2-2-1-1        => 543684                                          
gid://shopify/TaxonomyCategory/ap-2-2-1-2        => 543683                                          
gid://shopify/TaxonomyCategory/ap-2-2-2          => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-1        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-2        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-3        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-4        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-5        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-6        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-2-7        => 4997                                            
gid://shopify/TaxonomyCategory/ap-2-2-3          => 500059                                          
gid://shopify/TaxonomyCategory/ap-2-2-4          => 4999                                            
gid://shopify/TaxonomyCategory/ap-2-2-4-1        => 8069                                            
gid://shopify/TaxonomyCategory/ap-2-2-4-2        => 7142                                            
gid://shopify/TaxonomyCategory/ap-2-2-4-3        => 5000                                            
gid://shopify/TaxonomyCategory/ap-2-2-5          => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-1        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-2        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-3        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-4        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-5        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-6        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-7        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-9        => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-10       => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-11       => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-5-12       => 5001                                            
gid://shopify/TaxonomyCategory/ap-2-2-6          => 5002                                            
gid://shopify/TaxonomyCategory/ap-2-2-6-1        => 5002                                            
gid://shopify/TaxonomyCategory/ap-2-2-6-3        => 5002                                            
gid://shopify/TaxonomyCategory/ap-2-2-6-4        => 5002                                            
gid://shopify/TaxonomyCategory/ap-2-2-6-5        => 5002                                            
gid://shopify/TaxonomyCategory/ap-2-3            => 5                                               
gid://shopify/TaxonomyCategory/ap-2-3-1          => 7372                                            
gid://shopify/TaxonomyCategory/ap-2-3-2          => 499900                                          
gid://shopify/TaxonomyCategory/ap-2-3-3          => 3530                                            
gid://shopify/TaxonomyCategory/ap-2-3-3-1        => 543682                                          
gid://shopify/TaxonomyCategory/ap-2-3-3-2        => 543681                                          
gid://shopify/TaxonomyCategory/ap-2-3-4          => 5094                                            
gid://shopify/TaxonomyCategory/ap-2-3-5          => 7428                                            
gid://shopify/TaxonomyCategory/ap-2-3-6          => 7274                                            
gid://shopify/TaxonomyCategory/ap-2-3-6-1        => 7274                                            
gid://shopify/TaxonomyCategory/ap-2-3-6-2        => 7274                                            
gid://shopify/TaxonomyCategory/ap-2-3-6-3        => 7274                                            
gid://shopify/TaxonomyCategory/ap-2-3-6-4        => 7274                                            
gid://shopify/TaxonomyCategory/ap-2-3-6-5        => 7274                                            
gid://shopify/TaxonomyCategory/ap-2-3-7          => 5010                                            
gid://shopify/TaxonomyCategory/ap-2-3-8          => 8123                                            
gid://shopify/TaxonomyCategory/ap-2-3-9          => 5011                                            
gid://shopify/TaxonomyCategory/ap-2-3-9-1        => 5011                                            
gid://shopify/TaxonomyCategory/ap-2-3-9-2        => 5011                                            
gid://shopify/TaxonomyCategory/ap-2-3-9-3        => 5011                                            
gid://shopify/TaxonomyCategory/ap-2-3-9-4        => 5011                                            
gid://shopify/TaxonomyCategory/ap-2-3-9-5        => 5011                                            
gid://shopify/TaxonomyCategory/ap-2-4            => 6                                               
gid://shopify/TaxonomyCategory/ap-2-4-1          => 505303                                          
gid://shopify/TaxonomyCategory/ap-2-4-1-1        => 505303                                          
