# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-briller passformdesign
gid://shopify/TaxonomyAttribute/5399  : 3D-briller teknologi
gid://shopify/TaxonomyAttribute/5365  : 3D-skriverveske-stil
gid://shopify/TaxonomyAttribute/5366  : 3D-skriver rengjøringssett komponenter inkludert
gid://shopify/TaxonomyAttribute/5370  : Type 3D-utskriftsharpiks
gid://shopify/TaxonomyAttribute/5668  : 80 Plus-effektivitetsvurdering
gid://shopify/TaxonomyAttribute/6976  : ABEC-vurdering
gid://shopify/TaxonomyAttribute/8005  : Monteringsstil for AC-kompressor
gid://shopify/TaxonomyAttribute/8006  : AC-kompressoroljetype
gid://shopify/TaxonomyAttribute/5507  : ADC-oppløsning
gid://shopify/TaxonomyAttribute/2649  : AI-applikasjon
gid://shopify/TaxonomyAttribute/7015  : ART-sikkerhetsvurdering
gid://shopify/TaxonomyAttribute/7017  : ASA-monteringstype
gid://shopify/TaxonomyAttribute/2703  : Dekktype for ATV/firehjuling
gid://shopify/TaxonomyAttribute/8045  : Tiltenkt bruk av ATV/UTV
gid://shopify/TaxonomyAttribute/6336  : Materiale i kuler i kuleramme
gid://shopify/TaxonomyAttribute/8004  : Slipenivå
gid://shopify/TaxonomyAttribute/2184  : Klebende materiale
gid://shopify/TaxonomyAttribute/7610  : Inkludert absinth-tilbehør
gid://shopify/TaxonomyAttribute/1460  : Absintstil
gid://shopify/TaxonomyAttribute/1461  : Absintvariant
gid://shopify/TaxonomyAttribute/894   : Absorberingsnivå
gid://shopify/TaxonomyAttribute/2972  : Absorberende hygieneproduktegenskaper
gid://shopify/TaxonomyAttribute/2529  : Akademisk nivå
gid://shopify/TaxonomyAttribute/8942  : Mode
gid://shopify/TaxonomyAttribute/6859  : Tilgangsmekanisme
gid://shopify/TaxonomyAttribute/4996  : Tilgjengelighetsdesignfunksjoner
gid://shopify/TaxonomyAttribute/8007  : Tilgjengelighetsfunksjoner
gid://shopify/TaxonomyAttribute/6860  : Inkludert tilbehør
gid://shopify/TaxonomyAttribute/2956  : Tilbehørsmateriale
