# Shopify Product Taxonomy - Categories: 2025-09
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Produkter til dyr og husdyr
gid://shopify/TaxonomyCategory/ap-1              : Produkter til dyr og husdyr > Levende dyr
gid://shopify/TaxonomyCategory/ap-2              : Produkter til dyr og husdyr > Husdyrprodukter
gid://shopify/TaxonomyCategory/ap-2-1            : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter
gid://shopify/TaxonomyCategory/ap-2-1-1          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Tilbehør til fuglebur
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Tilbehør til fuglebur > Fuglebad til fuglebur
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Tilbehør til fuglebur > Mat- og vannskåler til fuglebur
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Tilbehør til fuglebur > Mat- og vannskåler til fuglebur > Matskåler til fuglebur
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Tilbehør til fuglebur > Mat- og vannskåler til fuglebur > Vannskåler til fuglebur
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Tilbehør til fuglebur > Mat- og vannskåler til fuglebur > Kombinerte mat- og vannskåler til fuglebur
gid://shopify/TaxonomyCategory/ap-2-1-2          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglebur og stativer
gid://shopify/TaxonomyCategory/ap-2-1-3          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglemat
gid://shopify/TaxonomyCategory/ap-2-1-4          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglegym og lekestativer
gid://shopify/TaxonomyCategory/ap-2-1-5          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglestiger og -vagler
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglestiger og -vagler > Stiger og trinn
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglestiger og -vagler > Husker og svinger
gid://shopify/TaxonomyCategory/ap-2-1-6          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Baller og henteleker
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Bjeller og perler
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Tyggeleker
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Samleleker
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Speil
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Puslespill og interaktive leker
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Tau og knuter
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fugleleker > Tunneler og rør
gid://shopify/TaxonomyCategory/ap-2-1-7          : Produkter til dyr og husdyr > Husdyrprodukter > Fugleprodukter > Fuglegodter
gid://shopify/TaxonomyCategory/ap-2-2            : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter
gid://shopify/TaxonomyCategory/ap-2-2-1          : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemat
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemat > Fôr til katt
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemat > Veterinærfôr til katt
gid://shopify/TaxonomyCategory/ap-2-2-2          : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Katteleiligheter og -hus
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Kattehengere og -hyller
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Katteskrapere og skrapestolper
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Kattetrinn og -ramper
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Kattetrær og -tårn
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Vindussenger og -hengere for katt
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattemøbler > Utendørs kattehus
gid://shopify/TaxonomyCategory/ap-2-2-3          : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Tilbehør til kattemøbler
gid://shopify/TaxonomyCategory/ap-2-2-4          : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattesand
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattesand > Trekk til kattetoalett
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattesand > Matter til kattetoalett
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattesand > Kattetoaletter
gid://shopify/TaxonomyCategory/ap-2-2-5          : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Baller og chasere
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Leker med kattemynte
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Tyggeleker
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Fjær og erteleker
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Interaktive leker
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Laserleker
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Puslespill og leker med godbiter
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Pipeleker
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Utstoppede leker og plysj
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Tunneler
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Katteleker > Staver
gid://shopify/TaxonomyCategory/ap-2-2-6          : Produkter til dyr og husdyr > Husdyrprodukter > Katteprodukter > Kattegodter
gid://shopify/TaxonomyCategory/ap-2-3            : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter
gid://shopify/TaxonomyCategory/ap-2-3-1          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundebleier og -innlegg
gid://shopify/TaxonomyCategory/ap-2-3-2          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundebleier
gid://shopify/TaxonomyCategory/ap-2-3-3          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundemat
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundemat > Fôr til hund
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundemat > Veterinærfôr til hund
gid://shopify/TaxonomyCategory/ap-2-3-4          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundehus
