# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-bril pasontwerp
gid://shopify/TaxonomyAttribute/5399  : 3D-bril technologie
gid://shopify/TaxonomyAttribute/5365  : 3D-printer hoesje stijl
gid://shopify/TaxonomyAttribute/5366  : 3D-printer reinigingskit inbegrepen componenten
gid://shopify/TaxonomyAttribute/5370  : 3D-print harstype
gid://shopify/TaxonomyAttribute/5668  : 80 Plus efficiëntieclassificatie
gid://shopify/TaxonomyAttribute/6976  : ABEC-classificatie
gid://shopify/TaxonomyAttribute/8005  : Bevestigingswijze van de aircocompressor
gid://shopify/TaxonomyAttribute/8006  : AC-compressorolietype
gid://shopify/TaxonomyAttribute/5507  : ADC-resolutie
gid://shopify/TaxonomyAttribute/2649  : AI-toepassing
gid://shopify/TaxonomyAttribute/7015  : ART-beveiligingsclassificatie
gid://shopify/TaxonomyAttribute/7017  : Type ASA-montage
gid://shopify/TaxonomyAttribute/2703  : Type ATV/offroad-band
gid://shopify/TaxonomyAttribute/8045  : ATV/UTV beoogd gebruik
gid://shopify/TaxonomyAttribute/6336  : Abacus kralenmateriaal
gid://shopify/TaxonomyAttribute/8004  : Schuurkracht
gid://shopify/TaxonomyAttribute/2184  : Schurend materiaal
gid://shopify/TaxonomyAttribute/7610  : Inbegrepen absintaccessoires
gid://shopify/TaxonomyAttribute/1460  : Absintstijl
gid://shopify/TaxonomyAttribute/1461  : Absintvariant
gid://shopify/TaxonomyAttribute/894   : Absorptieniveau
gid://shopify/TaxonomyAttribute/2972  : Kenmerken van absorberende hygiëneproducten
gid://shopify/TaxonomyAttribute/2529  : Academisch niveau
gid://shopify/TaxonomyAttribute/8942  : Accentueermodi
gid://shopify/TaxonomyAttribute/6859  : Toegangsmechanisme
gid://shopify/TaxonomyAttribute/4996  : Toegankelijkheidsontwerpfuncties
gid://shopify/TaxonomyAttribute/8007  : Toegankelijkheidsfuncties
gid://shopify/TaxonomyAttribute/6860  : Inbegrepen accessoires
gid://shopify/TaxonomyAttribute/2956  : Accessoire materiaal
gid://shopify/TaxonomyAttribute/6635  : Inbegrepen extra's
gid://shopify/TaxonomyAttribute/50    : Accessoiregrootte
gid://shopify/TaxonomyAttribute/2461  : Afstemming accordeon
gid://shopify/TaxonomyAttribute/8943  : Functies voor feedbackregeling bij akoestische versterkers
gid://shopify/TaxonomyAttribute/8944  : Inbegrepen onderdelen van het akoestische drumstel
gid://shopify/TaxonomyAttribute/8945  : Vorm van de akoestische gitaar
gid://shopify/TaxonomyAttribute/8946  : Ontwerp van de kern van akoestische gitaarsnaren
gid://shopify/TaxonomyAttribute/8947  : Materiaal van de toetsen van een akoestische piano
gid://shopify/TaxonomyAttribute/8948  : Type deksel van een akoestische piano
gid://shopify/TaxonomyAttribute/8949  : Materiaal van de klankkast/het frame van een akoestische piano
gid://shopify/TaxonomyAttribute/8950  : Materiaal van de klankkast van een akoestische piano
gid://shopify/TaxonomyAttribute/6337  : Schaal van actiefiguren
gid://shopify/TaxonomyAttribute/6977  : Actietype
gid://shopify/TaxonomyAttribute/5052  : Activeringsmechanisme
gid://shopify/TaxonomyAttribute/4997  : Activeringsmethode
gid://shopify/TaxonomyAttribute/1598  : Actief ingrediënt
gid://shopify/TaxonomyAttribute/2995  : Kenmerken Activewear-kleding
gid://shopify/TaxonomyAttribute/5     : Activiteit
gid://shopify/TaxonomyAttribute/1547  : Ontwerp activiteitentracker
gid://shopify/TaxonomyAttribute/6978  : Bedieningsmechanisme
gid://shopify/TaxonomyAttribute/8008  : Activeringsmethode
gid://shopify/TaxonomyAttribute/1543  : Indeling acupunctuurmodellen
gid://shopify/TaxonomyAttribute/1544  : Type acupunctuurmodellen
gid://shopify/TaxonomyAttribute/5562  : Richtingsgevoeligheid van adapter
gid://shopify/TaxonomyAttribute/5424  : Adapter bedieningsmodi
gid://shopify/TaxonomyAttribute/6979  : Richting van de adapter
gid://shopify/TaxonomyAttribute/5391  : Adaptieve synchronisatietechnologie
gid://shopify/TaxonomyAttribute/3376  : Extra functies voor animatiesoftware
gid://shopify/TaxonomyAttribute/5144  : Aanvullende reinigingstechnologie
gid://shopify/TaxonomyAttribute/3378  : Extra type ontwerpsoftware
gid://shopify/TaxonomyAttribute/3373  : Extra functies voor financiële software
gid://shopify/TaxonomyAttribute/3377  : Extra functies voor grafische software
gid://shopify/TaxonomyAttribute/3379  : Extra functies voor publicatiesoftware
gid://shopify/TaxonomyAttribute/3372  : Extra functies voor beveiligingssoftware
gid://shopify/TaxonomyAttribute/8951  : Toepassingsfase van het additief
gid://shopify/TaxonomyAttribute/5249  : Lijmtoepassingstype
gid://shopify/TaxonomyAttribute/8952  : Zelfklevende achterkant
gid://shopify/TaxonomyAttribute/5099  : Hechtkenmerken
gid://shopify/TaxonomyAttribute/5531  : Lijmformaat
gid://shopify/TaxonomyAttribute/6980  : Samenstelling van de lijm
gid://shopify/TaxonomyAttribute/8953  : Zijden met lijm
gid://shopify/TaxonomyAttribute/5207  : Kleefkracht
gid://shopify/TaxonomyAttribute/2319  : Lijmtype
gid://shopify/TaxonomyAttribute/8954  : Verwerkingsvorm hulpgranen
gid://shopify/TaxonomyAttribute/8009  : Type verstelbaarheid
gid://shopify/TaxonomyAttribute/8955  : Verstelbare cupdempers
gid://shopify/TaxonomyAttribute/6861  : Verstelbare zones
gid://shopify/TaxonomyAttribute/8010  : Type afstelling
gid://shopify/TaxonomyAttribute/6981  : Toedieningsmethode
gid://shopify/TaxonomyAttribute/8956  : Type prompt advieskaart
gid://shopify/TaxonomyAttribute/6982  : Beluchtingsmethode
gid://shopify/TaxonomyAttribute/8011  : Onderdelen aeropakket
gid://shopify/TaxonomyAttribute/8012  : Aerodynamische elementen inbegrepen
gid://shopify/TaxonomyAttribute/3354  : Productvorm aftershave
gid://shopify/TaxonomyAttribute/8957  : Aftertouch-ondersteuning
gid://shopify/TaxonomyAttribute/7611  : Classificatie van agave-gehalte
gid://shopify/TaxonomyAttribute/30    : Leeftijdsgroep
gid://shopify/TaxonomyAttribute/2274  : Leeftijdsbeperkingen
gid://shopify/TaxonomyAttribute/8958  : Dichtheid van Aida-stof
gid://shopify/TaxonomyAttribute/8959  : Aida-stof, voorgesneden formaat
gid://shopify/TaxonomyAttribute/6338  : Meegeleverde items lucht- en water raket kit
gid://shopify/TaxonomyAttribute/6339  : Lanceermethode lucht- en waterraketten
gid://shopify/TaxonomyAttribute/8960  : Materiaal luchtzak
gid://shopify/TaxonomyAttribute/6862  : Interne constructie luchtbed
gid://shopify/TaxonomyAttribute/2708  : Vorm luchtverfrisser
gid://shopify/TaxonomyAttribute/5689  : Accessoiretypen voor de airfryer
gid://shopify/TaxonomyAttribute/4050  : Airfryerfuncties
gid://shopify/TaxonomyAttribute/6983  : Meegeleverde airhockey-items
gid://shopify/TaxonomyAttribute/8013  : Montagestijl luchtinlaattemperatuursensor
gid://shopify/TaxonomyAttribute/6984  : Integratiecapaciteit lucht
gid://shopify/TaxonomyAttribute/3182  : Kenmerken luchtmatras
gid://shopify/TaxonomyAttribute/6985  : Ventieltype luchtbed
gid://shopify/TaxonomyAttribute/5690  : Filtertechnologie luchtzuivering
gid://shopify/TaxonomyAttribute/5691  : Filterklasse luchtzuivering
gid://shopify/TaxonomyAttribute/5103  : Luchtslangconfiguratie
gid://shopify/TaxonomyAttribute/8961  : Kleurvorm luchtdrogende klei
gid://shopify/TaxonomyAttribute/8014  : Positie airbag
gid://shopify/TaxonomyAttribute/3329  : Type airbrush-toevoer
gid://shopify/TaxonomyAttribute/3328  : Airbrush bedieningsmethode
gid://shopify/TaxonomyAttribute/8015  : ADS-B-mogelijkheid vliegtuig
gid://shopify/TaxonomyAttribute/8016  : Materiaal vliegtuigframe
gid://shopify/TaxonomyAttribute/8017  : Cabine-indeling vliegtuig
gid://shopify/TaxonomyAttribute/8018  : Meegeleverde vliegtuigdocumentatie
gid://shopify/TaxonomyAttribute/4683  : Configuratie vliegtuigmotoren
gid://shopify/TaxonomyAttribute/4682  : Type vliegtuigmotor
gid://shopify/TaxonomyAttribute/8019  : Configuratie vliegtuigkombuis
gid://shopify/TaxonomyAttribute/8020  : Installatielocatie vliegtuig
gid://shopify/TaxonomyAttribute/8021  : Internetverbinding vliegtuig
gid://shopify/TaxonomyAttribute/8022  : Type landingsgestel vliegtuig
gid://shopify/TaxonomyAttribute/8023  : Configuratie vliegtuigtoilet
gid://shopify/TaxonomyAttribute/8024  : Inschrijving onderhoudsprogramma vliegtuig
gid://shopify/TaxonomyAttribute/8025  : Operationele certificering vliegtuig
gid://shopify/TaxonomyAttribute/8026  : Certificering beschermende vliegtuiguitrusting
gid://shopify/TaxonomyAttribute/8027  : Toepassing vliegtuigsysteem
gid://shopify/TaxonomyAttribute/5211  : Luchtstroom openingsontwerp
gid://shopify/TaxonomyAttribute/8962  : Niveau luchtweerstand
gid://shopify/TaxonomyAttribute/8028  : Materiaal luchtschipomhulsel
gid://shopify/TaxonomyAttribute/6986  : Type airsoftonderdeel
gid://shopify/TaxonomyAttribute/8029  : Basis luchtwaardigheidsgoedkeuring
gid://shopify/TaxonomyAttribute/6987  : Instelbaarheid alarmvolume
gid://shopify/TaxonomyAttribute/2287  : Albumtype
gid://shopify/TaxonomyAttribute/5290  : Alcoholgehalte
gid://shopify/TaxonomyAttribute/8963  : Afwerkingseffect alcoholinkt
gid://shopify/TaxonomyAttribute/5679  : Alcohol-/oplosmiddelgehalte
gid://shopify/TaxonomyAttribute/1362  : Waarschuwingstype
gid://shopify/TaxonomyAttribute/6988  : Stijl uitlijnhulp
gid://shopify/TaxonomyAttribute/1451  : Allergeneninformatie
gid://shopify/TaxonomyAttribute/1577  : Type allergeentest
gid://shopify/TaxonomyAttribute/1631  : Allergenen
gid://shopify/TaxonomyAttribute/3138  : Allergievriendelijke functies
gid://shopify/TaxonomyAttribute/8030  : Koeltype dynamo
gid://shopify/TaxonomyAttribute/8031  : Ontstekingsbeschermingsklasse dynamo voor maritiem gebruik
gid://shopify/TaxonomyAttribute/8032  : Montageconfiguratie dynamo
gid://shopify/TaxonomyAttribute/8033  : Type dynamopoelie
gid://shopify/TaxonomyAttribute/8034  : Type dynamoregelaar
gid://shopify/TaxonomyAttribute/8035  : Type aansluitklem dynamo
gid://shopify/TaxonomyAttribute/6989  : Geschiktheid voor hoogte
gid://shopify/TaxonomyAttribute/8036  : Type brancardbevestiging ambulance
gid://shopify/TaxonomyAttribute/6990  : Veiligheidscertificering American football
gid://shopify/TaxonomyAttribute/5126  : Aminozuur subtype
gid://shopify/TaxonomyAttribute/1800  : Versterkerklasse
gid://shopify/TaxonomyAttribute/2690  : Versterkerconfiguratie
gid://shopify/TaxonomyAttribute/8964  : Functie versterkerbuis
gid://shopify/TaxonomyAttribute/1808  : Geschikte locatie versterker/booster
gid://shopify/TaxonomyAttribute/5088  : Amputatieniveau
gid://shopify/TaxonomyAttribute/8965  : CV/Gate-I/O analoge synthesizer
gid://shopify/TaxonomyAttribute/8966  : Toetsenbordconfiguratie analoge synthesizer
gid://shopify/TaxonomyAttribute/5100  : Gemeten analyt
gid://shopify/TaxonomyAttribute/4998  : Anamorfe compressieverhouding
gid://shopify/TaxonomyAttribute/5043  : Weergegeven anatomisch detail
gid://shopify/TaxonomyAttribute/6991  : Ankerconfiguratie
gid://shopify/TaxonomyAttribute/1258  : Ankertype
gid://shopify/TaxonomyAttribute/2198  : Toepassing anemometer
gid://shopify/TaxonomyAttribute/1883  : Ondersteunde hoeken
gid://shopify/TaxonomyAttribute/1289  : Hengelstijl
gid://shopify/TaxonomyAttribute/5692  : Inbegrepen onderdelen van de dierenverzorgingsset
gid://shopify/TaxonomyAttribute/2550  : Vorm diervoeding
gid://shopify/TaxonomyAttribute/7612  : Methode voor het houden van dieren
gid://shopify/TaxonomyAttribute/6340  : Diersoorten
gid://shopify/TaxonomyAttribute/6992  : Stijl kaakmechanisme dierenval
gid://shopify/TaxonomyAttribute/6993  : Type dierenval
gid://shopify/TaxonomyAttribute/1308  : Diertype
gid://shopify/TaxonomyAttribute/6994  : Stijl enkelkraag
gid://shopify/TaxonomyAttribute/6995  : Beschermingsniveau enkelbeschermer
gid://shopify/TaxonomyAttribute/6996  : Type vulling enkelband
gid://shopify/TaxonomyAttribute/6997  : Type enkelband
gid://shopify/TaxonomyAttribute/5519  : Antwoordapparaat type
gid://shopify/TaxonomyAttribute/6341  : Type habitatmedium mierenboerderij
gid://shopify/TaxonomyAttribute/6342  : Inhoud mierenboerderijset
gid://shopify/TaxonomyAttribute/6343  : Type verlichting mierenboerderij
gid://shopify/TaxonomyAttribute/5587  : Type RF-connector antenne
gid://shopify/TaxonomyAttribute/5511  : Antenne connectortype
gid://shopify/TaxonomyAttribute/8037  : Antennetype
gid://shopify/TaxonomyAttribute/1828  : Antennetype
gid://shopify/TaxonomyAttribute/8038  : Blaasmateriaal anti-G-pak
gid://shopify/TaxonomyAttribute/8039  : Type aansluiting anti-G-pak
gid://shopify/TaxonomyAttribute/8040  : Opblaasmethode anti-G-pak
gid://shopify/TaxonomyAttribute/8041  : Maatsysteem anti-G-pak
gid://shopify/TaxonomyAttribute/3340  : Type anti-aging huidverzorging
gid://shopify/TaxonomyAttribute/7613  : Antiklontermiddel
gid://shopify/TaxonomyAttribute/5305  : Anti-transpirant krachtniveau
gid://shopify/TaxonomyAttribute/6998  : Anti-retourtype
gid://shopify/TaxonomyAttribute/8042  : Antidiefstalfunctie
gid://shopify/TaxonomyAttribute/5056  : Geteste antilichaamklasse
gid://shopify/TaxonomyAttribute/2710  : Antivriestype
gid://shopify/TaxonomyAttribute/4680  : Antiek auto-ontwerp
gid://shopify/TaxonomyAttribute/8967  : Ontstekingssysteem antiek vuurwapen
gid://shopify/TaxonomyAttribute/4679  : Tijdperk antieke voertuigen
gid://shopify/TaxonomyAttribute/7614  : Appelras
gid://shopify/TaxonomyAttribute/5501  : Apparaat bord functie
gid://shopify/TaxonomyAttribute/5500  : Apparaat unit locatie
gid://shopify/TaxonomyAttribute/1316  : Toepassingsmethode
gid://shopify/TaxonomyAttribute/5149  : Type toepassing
gid://shopify/TaxonomyAttribute/5258  : Applicatorformaat
gid://shopify/TaxonomyAttribute/1639  : Applicatormateriaal
gid://shopify/TaxonomyAttribute/3344  : Type applicator
