# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Dieren
gid://shopify/TaxonomyCategory/ap-1              : Dieren > Levende dieren
gid://shopify/TaxonomyCategory/ap-2              : Dieren > Benodigdheden voor huisdieren
gid://shopify/TaxonomyCategory/ap-2-1            : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels
gid://shopify/TaxonomyCategory/ap-2-1-1          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Accessoires voor vogelkooien
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Accessoires voor vogelkooien > Vogelbadjes voor vogelkooien
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Accessoires voor vogelkooien > Voer- en drinkbakjes voor vogelkooien
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Accessoires voor vogelkooien > Voer- en drinkbakjes voor vogelkooien > Voerbakjes voor vogelkooien
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Accessoires voor vogelkooien > Voer- en drinkbakjes voor vogelkooien > Drinkbakjes voor vogelkooien
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Accessoires voor vogelkooien > Voer- en drinkbakjes voor vogelkooien > Gecombineerde voer- en drinkbakjes voor vogelkooien
gid://shopify/TaxonomyCategory/ap-2-1-2          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelkooien en standaards
gid://shopify/TaxonomyCategory/ap-2-1-3          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelvoer
gid://shopify/TaxonomyCategory/ap-2-1-4          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Speeltuintjes en -toestellen voor vogels
gid://shopify/TaxonomyCategory/ap-2-1-5          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelladders en stokken
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelladders en stokken > Ladders en treden
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelladders en stokken > Schommels en stokken
gid://shopify/TaxonomyCategory/ap-2-1-6          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes > Ballen en apporteerspeelgoed
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes > Bellen en kralen
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes > Kauwspeeltjes
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes > Foerageerspeeltjes
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes > Spiegels
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vogels > Vogelspeeltjes > Puzzels en interactieve speeltjes
