# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Zwierzęta i artykuły dla zwierząt
gid://shopify/TaxonomyCategory/ap-1              : Zwierzęta i artykuły dla zwierząt > Żywe zwierzęta
gid://shopify/TaxonomyCategory/ap-2              : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt
gid://shopify/TaxonomyCategory/ap-2-1            : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-1          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Akcesoria do klatek dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Akcesoria do klatek dla ptaków > Wanienki dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Akcesoria do klatek dla ptaków > Pojemniki na żywność i wodę dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Akcesoria do klatek dla ptaków > Pojemniki na żywność i wodę dla ptaków > Pojemniki na karmę dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Akcesoria do klatek dla ptaków > Pojemniki na żywność i wodę dla ptaków > Pojemniki na wodę dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Akcesoria do klatek dla ptaków > Pojemniki na żywność i wodę dla ptaków > Połączone pojemniki na karmę i wodę dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-2          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Klatki i stojaki dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-3          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Karma dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-4          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zestawy rekreacyjne dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-5          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Drabinki i grzędy dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Drabinki i grzędy dla ptaków > Drabinki i stopnie
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Drabinki i grzędy dla ptaków > Huśtawki i żerdzie
gid://shopify/TaxonomyCategory/ap-2-1-6          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Piłki i zabawki do aportowania
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Dzwonki i koraliki
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Zabawki do dziobania
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Zabawki do karmienia
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Lustra
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Puzzle i zabawki interaktywne
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Sznurki i węzły
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Zabawki dla ptaków > Tunele i tuby
gid://shopify/TaxonomyCategory/ap-2-1-7          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla ptaków > Smakołyki dla ptaków
gid://shopify/TaxonomyCategory/ap-2-2            : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-1          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Karma dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Karma dla kotów > Karma dla kotów bez recepty
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Karma dla kotów > Karma dla kotów na receptę
gid://shopify/TaxonomyCategory/ap-2-2-2          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Budki i domki dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Legowiska i półki dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Drapaki i słupki do drapania dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Stopnie i rampy dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Drzewa i wieże dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Legowiska na okno dla kota
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Meble dla kotów > Zewnętrzne domki dla kota
gid://shopify/TaxonomyCategory/ap-2-2-3          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Akcesoria do mebli dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-4          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Żwirek dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Żwirek dla kotów > Worki do kuwet
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Żwirek dla kotów > Maty pod kuwetę
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Żwirek dla kotów > Kuwety dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-5          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Piłki i zabawki do łapania
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Zabawki z kocimiętką
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Zabawki do dziobania
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Pióra i zabawki na patyku
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Zabawki interaktywne
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Zabawki laserowe
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Puzzle i zabawki z dozownikiem karmy
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Piszczące zabawki
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Maskotki i pluszaki
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Tunele
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Zabawki dla kotów > Wędki dla kota
gid://shopify/TaxonomyCategory/ap-2-2-6          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla kotów > Smakołyki dla kotów
gid://shopify/TaxonomyCategory/ap-2-3            : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów
gid://shopify/TaxonomyCategory/ap-2-3-1          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Podkładki i wkładki higieniczne dla psów
gid://shopify/TaxonomyCategory/ap-2-3-2          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Pieluchy dla psów
gid://shopify/TaxonomyCategory/ap-2-3-3          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Karma dla psów
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Karma dla psów > Karma dla psów bez recepty
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Karma dla psów > Karma dla psów na receptę
gid://shopify/TaxonomyCategory/ap-2-3-4          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy dla psów
gid://shopify/TaxonomyCategory/ap-2-3-5          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Akcesoria do bud i boksów dla psów
gid://shopify/TaxonomyCategory/ap-2-3-6          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy i boksy dla psów
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy i boksy dla psów > Kojce dla psów
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy i boksy dla psów > Klatki dla psów
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy i boksy dla psów > Wewnętrzne budy dla psów
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy i boksy dla psów > Zewnętrzne budy dla psów
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Budy i boksy dla psów > Przenośne budy dla psów
gid://shopify/TaxonomyCategory/ap-2-3-7          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Zabawki dla psów
gid://shopify/TaxonomyCategory/ap-2-3-8          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Bieżnie dla psów
gid://shopify/TaxonomyCategory/ap-2-3-9          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły dla psów > Smakołyki dla psów
gid://shopify/TaxonomyCategory/ap-2-4            : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek
gid://shopify/TaxonomyCategory/ap-2-4-1          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Rurki do akwariów i oczek wodnych
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Rurki do akwariów i oczek wodnych > Wężyki napowietrzające
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Rurki do akwariów i oczek wodnych > Wężyki zwijane
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Rurki do akwariów i oczek wodnych > Wężyki elastyczne
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Rurki do akwariów i oczek wodnych > Wężyki sztywne
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Rurki do akwariów i oczek wodnych > Standardowe wężyki
gid://shopify/TaxonomyCategory/ap-2-4-2          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Kamienie napowietrzające i dyfuzory
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Kamienie napowietrzające i dyfuzory > Dyfuzory do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Kamienie napowietrzające i dyfuzory > Dyski napowietrzające
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Kamienie napowietrzające i dyfuzory > Standardowe kamienie napowietrzające
