# Shopify Product Taxonomy - Categories: 2025-08-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animais e produtos para animais de estimação
gid://shopify/TaxonomyCategory/ap-1              : Animais e produtos para animais de estimação > Animais vivos
gid://shopify/TaxonomyCategory/ap-2              : Animais e produtos para animais de estimação > Suprimentos para animais de estimação
gid://shopify/TaxonomyCategory/ap-2-1            : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Acessórios para gaiolas de pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Acessórios para gaiolas de pássaros > Recipientes para banho para gaiola de pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Acessórios para gaiolas de pássaros > Recipientes para comida e água para gaiola de pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Acessórios para gaiolas de pássaros > Recipientes para comida e água para gaiola de pássaros > Recipientes de comida para gaiola de pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Acessórios para gaiolas de pássaros > Recipientes para comida e água para gaiola de pássaros > Recipientes de água para gaiola de pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Acessórios para gaiolas de pássaros > Recipientes para comida e água para gaiola de pássaros > Recipientes combinados de comida e água para gaiola de pássaros
gid://shopify/TaxonomyCategory/ap-2-1-2          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Gaiolas e poleiros para pássaros
