# Shopify Product Taxonomy - Categories: 2099-01
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Artigos para animais e animais estimação
gid://shopify/TaxonomyCategory/ap-1              : Artigos para animais e animais estimação > Animais vivos
gid://shopify/TaxonomyCategory/ap-2              : Artigos para animais e animais estimação > Artigos para animais
gid://shopify/TaxonomyCategory/ap-2-1            : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-1          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios para pássaros de gaiola
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios para pássaros de gaiola > Acessório de banho para pássaros de gaiola
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios para pássaros de gaiola > Comedouros e bebedouros para pássaros de gaiola
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios para pássaros de gaiola > Comedouros e bebedouros para pássaros de gaiola > Comedouros para pássaros de gaiola
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios para pássaros de gaiola > Comedouros e bebedouros para pássaros de gaiola > Bebedouros para pássaros de gaiola
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios para pássaros de gaiola > Comedouros e bebedouros para pássaros de gaiola > Comedouros e bebedouros combinados para pássaros de gaiola
gid://shopify/TaxonomyCategory/ap-2-1-2          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Gaiolas e poleiros para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-3          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Comida para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-4          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Acessórios de diversão e ginástica para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-5          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Poleiros e escadas para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Poleiros e escadas para pássaros > Escadas e degraus
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Poleiros e escadas para pássaros > Baloiços e poleiros
