# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : Дизайн 3D-очков
gid://shopify/TaxonomyAttribute/5399  : Технология 3D-очков
gid://shopify/TaxonomyAttribute/5365  : Стиль чехла для 3D-принтера
gid://shopify/TaxonomyAttribute/5366  : Компоненты набора для чистки 3D-принтера в комплекте
gid://shopify/TaxonomyAttribute/5370  : Тип смолы для 3D-печати
gid://shopify/TaxonomyAttribute/5668  : Рейтинг эффективности 80 Plus
gid://shopify/TaxonomyAttribute/6976  : Рейтинг ABEC
gid://shopify/TaxonomyAttribute/8005  : Тип крепления компрессора кондиционера
gid://shopify/TaxonomyAttribute/8006  : Тип масла компрессора кондиционера
gid://shopify/TaxonomyAttribute/5507  : Разрешение АЦП
gid://shopify/TaxonomyAttribute/2649  : Возможности на базе ИИ
gid://shopify/TaxonomyAttribute/7015  : Рейтинг безопасности ART
gid://shopify/TaxonomyAttribute/7017  : Тип крепления ASA
gid://shopify/TaxonomyAttribute/2703  : Тип шин для мотовездеходов
gid://shopify/TaxonomyAttribute/8045  : Предполагаемое использование квадроциклов/UTV
gid://shopify/TaxonomyAttribute/6336  : Материал костяшек счетов
gid://shopify/TaxonomyAttribute/8004  : Степень абразивности
gid://shopify/TaxonomyAttribute/2184  : Абразивный материал
gid://shopify/TaxonomyAttribute/7610  : Аксессуары для абсента в комплекте
gid://shopify/TaxonomyAttribute/1460  : Способ изготовления абсента
gid://shopify/TaxonomyAttribute/1461  : Тип абсента
gid://shopify/TaxonomyAttribute/894   : Впитываемость
gid://shopify/TaxonomyAttribute/2972  : Характеристики впитывающих средств гигиены
gid://shopify/TaxonomyAttribute/2529  : Уровень подготовки
gid://shopify/TaxonomyAttribute/8942  : Режимы акцентирования
gid://shopify/TaxonomyAttribute/6859  : Механизм доступа
gid://shopify/TaxonomyAttribute/4996  : Характеристики дизайна доступности
gid://shopify/TaxonomyAttribute/8007  : Характеристики доступности
gid://shopify/TaxonomyAttribute/6860  : Аксессуары в комплекте
gid://shopify/TaxonomyAttribute/2956  : Материал аксессуара
