# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Животные и товары для питомцев
gid://shopify/TaxonomyCategory/ap-1              : Животные и товары для питомцев > Живые животные
gid://shopify/TaxonomyCategory/ap-2              : Животные и товары для питомцев > Товары для домашних животных
gid://shopify/TaxonomyCategory/ap-2-1            : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц
gid://shopify/TaxonomyCategory/ap-2-1-1          : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Аксессуары для птичьих клеток
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Аксессуары для птичьих клеток > Купалки для птичьих клеток
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Аксессуары для птичьих клеток > Кормушки и поилки для птичьих клеток
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Аксессуары для птичьих клеток > Кормушки и поилки для птичьих клеток > Кормушки для птичьих клеток
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Аксессуары для птичьих клеток > Кормушки и поилки для птичьих клеток > Поилки для птичьих клеток
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Аксессуары для птичьих клеток > Кормушки и поилки для птичьих клеток > Комбинированные кормушки-поилки для птичьих клеток
gid://shopify/TaxonomyCategory/ap-2-1-2          : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Клетки и подставки для птиц
gid://shopify/TaxonomyCategory/ap-2-1-3          : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Корм для птиц
gid://shopify/TaxonomyCategory/ap-2-1-4          : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Игровые площадки для птиц
gid://shopify/TaxonomyCategory/ap-2-1-5          : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Лесенки и жердочки для птиц
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Лесенки и жердочки для птиц > Лесенки
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Лесенки и жердочки для птиц > Качели и жердочки
gid://shopify/TaxonomyCategory/ap-2-1-6          : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Игрушки для птиц
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Игрушки для птиц > Мячи и игрушки для апортировки
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Игрушки для птиц > Колокольчики и бусы
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Игрушки для птиц > Игрушки для клевания
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для птиц > Игрушки для птиц > Кормушки-головоломки
