# Shopify Undefined Food Beverages Tobacco Product Taxonomy: 2024-01-29 
1685: Food, Beverages & Tobacco
1686: Food, Beverages & Tobacco > Beverages
1687: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages
1688: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer
1689: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Bitters
1690: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Cocktail Mixes
1691: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Cocktail Mixes > Frozen Cocktail Mixes
1692: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Cocktail Mixes > Shelf-stable Cocktail Mixes
1693: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages
1694: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Hard Cider
1695: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits
1696: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Absinthe
1697: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Brandy
1698: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Gin
1699: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Liqueurs
1700: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Rum
1701: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Shochu & Soju
1702: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Shochu & Soju > Shochu
1703: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Shochu & Soju > Soju
1704: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Tequila
1705: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Vodka
1706: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey
1707: Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine
1708: Food, Beverages & Tobacco > Beverages > Buttermilk
1709: Food, Beverages & Tobacco > Beverages > Coffee
1710: Food, Beverages & Tobacco > Beverages > Eggnog
1711: Food, Beverages & Tobacco > Beverages > Fruit Flavored Drinks
1712: Food, Beverages & Tobacco > Beverages > Hot Chocolate
1713: Food, Beverages & Tobacco > Beverages > Juice
1714: Food, Beverages & Tobacco > Beverages > Milk
1715: Food, Beverages & Tobacco > Beverages > Non-Dairy Milk
1716: Food, Beverages & Tobacco > Beverages > Powdered Beverage Mixes
1717: Food, Beverages & Tobacco > Beverages > Soda
1718: Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks
1719: Food, Beverages & Tobacco > Beverages > Tea & Infusions
1720: Food, Beverages & Tobacco > Beverages > Vinegar Drinks
1721: Food, Beverages & Tobacco > Beverages > Water
1722: Food, Beverages & Tobacco > Beverages > Water > Carbonated Water
1723: Food, Beverages & Tobacco > Beverages > Water > Carbonated Water > Flavored Carbonated Water
1724: Food, Beverages & Tobacco > Beverages > Water > Carbonated Water > Unflavored Carbonated Water
1725: Food, Beverages & Tobacco > Beverages > Water > Distilled Water
1726: Food, Beverages & Tobacco > Beverages > Water > Flat Mineral Water
1727: Food, Beverages & Tobacco > Beverages > Water > Spring Water
1728: Food, Beverages & Tobacco > Food Items
1729: Food, Beverages & Tobacco > Food Items > Bakery
1730: Food, Beverages & Tobacco > Food Items > Bakery > Bagels
1731: Food, Beverages & Tobacco > Food Items > Bakery > Bakery Assortments
1732: Food, Beverages & Tobacco > Food Items > Bakery > Breads & Buns
1733: Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars
1734: Food, Beverages & Tobacco > Food Items > Bakery > Coffee Cakes
1735: Food, Beverages & Tobacco > Food Items > Bakery > Cookies
1736: Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes
1737: Food, Beverages & Tobacco > Food Items > Bakery > Donuts
1738: Food, Beverages & Tobacco > Food Items > Bakery > Fudge
1739: Food, Beverages & Tobacco > Food Items > Bakery > Ice Cream Cones
1740: Food, Beverages & Tobacco > Food Items > Bakery > Muffins
1741: Food, Beverages & Tobacco > Food Items > Bakery > Pastries & Scones
1742: Food, Beverages & Tobacco > Food Items > Bakery > Pies & Tarts
1743: Food, Beverages & Tobacco > Food Items > Bakery > Taco Shells & Tostadas
1744: Food, Beverages & Tobacco > Food Items > Bakery > Tortillas & Wraps
1745: Food, Beverages & Tobacco > Food Items > Candied & Chocolate Covered Fruit
1746: Food, Beverages & Tobacco > Food Items > Candy & Chocolate
1747: Food, Beverages & Tobacco > Food Items > Condiments & Sauces
1748: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Cocktail Sauce
1749: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Curry Sauce
1750: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Dessert Toppings
1751: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Dessert Toppings > Fruit Toppings
1752: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Dessert Toppings > Ice Cream Syrup
1753: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Fish Sauce
1754: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Gravy
1755: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Honey
1756: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Horseradish Sauce
1757: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Hot Sauce
1758: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Ketchup
1759: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Marinades & Grilling Sauces
1760: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Mayonnaise
1761: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Mustard
1762: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Olives & Capers
1763: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Pasta Sauce
1764: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Pickled Fruits & Vegetables
1765: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Pizza Sauce
1766: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Relish & Chutney
1767: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Salad Dressing
1768: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Satay Sauce
1769: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Soy Sauce
1770: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Sweet and Sour Sauces
1771: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Syrup
1772: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Tahini
1773: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Tartar Sauce
1774: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > White & Cream Sauces
1775: Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Worcestershire Sauce
1776: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients
1777: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Baking Chips
1778: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Baking Chocolate
1779: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Baking Flavors & Extracts
1780: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Baking Mixes
1781: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Baking Powder
1782: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Baking Soda
1783: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Batter & Coating Mixes
1784: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Bean Paste
1785: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Bread Crumbs
1786: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Canned & Dry Milk
1787: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cookie Decorating Kits
1788: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils
1789: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Starch
1790: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Wine
1791: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Corn Syrup
1792: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Dough
1793: Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Dough > Bread & Pastry Dough
