# Shopify Product Taxonomy - Categories: 2025-09
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Potreby pre zvieratá a domácich miláčikov
gid://shopify/TaxonomyCategory/ap-1              : Potreby pre zvieratá a domácich miláčikov > Živé zvieratá
gid://shopify/TaxonomyCategory/ap-2              : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov
gid://shopify/TaxonomyCategory/ap-2-1            : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky
gid://shopify/TaxonomyCategory/ap-2-1-1          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Príslušenstvo pre vtáčie klietky
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Príslušenstvo pre vtáčie klietky > Kúpeľ vo vtáčej klietke
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Príslušenstvo pre vtáčie klietky > Misky na jedlo/vodu vo vtáčej klietke
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Príslušenstvo pre vtáčie klietky > Misky na jedlo/vodu vo vtáčej klietke > Misky na jedlo vo vtáčej klietke
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Príslušenstvo pre vtáčie klietky > Misky na jedlo/vodu vo vtáčej klietke > Misky na vodu vo vtáčej klietke
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Príslušenstvo pre vtáčie klietky > Misky na jedlo/vodu vo vtáčej klietke > Kombinované misky na jedlo/vodu vo vtáčej klietke
gid://shopify/TaxonomyCategory/ap-2-1-2          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Vtáčie klietky a stojany
gid://shopify/TaxonomyCategory/ap-2-1-3          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Krmivo pre vtáky
gid://shopify/TaxonomyCategory/ap-2-1-4          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Vtáčie hrazdy a hracie stanice
gid://shopify/TaxonomyCategory/ap-2-1-5          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Rebríky a bidlá pre vtáky
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Rebríky a bidlá pre vtáky > Rebríky a schodíky
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Rebríky a bidlá pre vtáky > Hojdačky a bidlá
gid://shopify/TaxonomyCategory/ap-2-1-6          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Loptičky a aportovacie hračky
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Zvončeky a korálky
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Žuvacie hračky
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Hračky na hľadanie potravy
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Zrkadlá
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Hádanky a interaktívne hračky
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Laná a uzly
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Hračky pre vtáky > Tunely a rúry
gid://shopify/TaxonomyCategory/ap-2-1-7          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre vtáky > Maškrty pre vtáky
gid://shopify/TaxonomyCategory/ap-2-2            : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-1          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Krmivo pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Krmivo pre mačky > Krmivo pre mačky bez predpisu
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Krmivo pre mačky > Krmivo pre mačky na predpis
gid://shopify/TaxonomyCategory/ap-2-2-2          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Byty a domčeky pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Bidlá a nástenné police pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Škrabadlá a škrabacie stĺpy pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Mačacie schodíky a rampy
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Mačacie stromy a veže
