# Shopify Product Taxonomy - Categories: 2026-02-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Živali in pripomočki za hišne ljubljenčke
gid://shopify/TaxonomyCategory/ap-1              : Živali in pripomočki za hišne ljubljenčke > Žive živali
gid://shopify/TaxonomyCategory/ap-2              : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke
gid://shopify/TaxonomyCategory/ap-2-1            : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice
gid://shopify/TaxonomyCategory/ap-2-1-1          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Dodatki za ptičje kletke
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Dodatki za ptičje kletke > Kopeli za ptice za ptičje kletke
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Dodatki za ptičje kletke > Posode za hrano in vodo za ptičje kletke
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Dodatki za ptičje kletke > Posode za hrano in vodo za ptičje kletke > Posode za hrano za ptičje kletke
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Dodatki za ptičje kletke > Posode za hrano in vodo za ptičje kletke > Posode za vodo za ptičje kletke
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Dodatki za ptičje kletke > Posode za hrano in vodo za ptičje kletke > Kombinirane posode za hrano in vodo za ptičje kletke
gid://shopify/TaxonomyCategory/ap-2-1-2          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Ptičje kletke in stojala
gid://shopify/TaxonomyCategory/ap-2-1-3          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Hrana za ptice
gid://shopify/TaxonomyCategory/ap-2-1-4          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Ptičje telovadnice in igrala
gid://shopify/TaxonomyCategory/ap-2-1-5          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Lestve in gredi za ptice
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Lestve in gredi za ptice > Lestve in stopnice
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Lestve in gredi za ptice > Gugalnice in gredi
gid://shopify/TaxonomyCategory/ap-2-1-6          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Žoge in igrače za prinašanje
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Zvončki in kroglice
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Igrače za žvečenje
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Igrače za iskanje hrane
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Ogledala
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Miselne igre in interaktivne igrače
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Vrvi in vozli
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Igrače za ptice > Tuneli in cevi
gid://shopify/TaxonomyCategory/ap-2-1-7          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za ptice > Priboljški za ptice
gid://shopify/TaxonomyCategory/ap-2-2            : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za mačke
gid://shopify/TaxonomyCategory/ap-2-2-1          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za mačke > Hrana za mačke
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za mačke > Hrana za mačke > Hrana za mačke brez recepta
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za mačke > Hrana za mačke > Hrana za mačke na recept
gid://shopify/TaxonomyCategory/ap-2-2-2          : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za mačke > Pohištvo za mačke
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Živali in pripomočki za hišne ljubljenčke > Pripomočki za hišne ljubljenčke > Pripomočki za mačke > Pohištvo za mačke > Mačja bivališča in hiške
