# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-glasögonpassningsdesign
gid://shopify/TaxonomyAttribute/5399  : 3D-glasögonteknik
gid://shopify/TaxonomyAttribute/5365  : Fodralstil för 3D-skrivare
gid://shopify/TaxonomyAttribute/5366  : Komponenter i rengöringskit för 3D-skrivare
gid://shopify/TaxonomyAttribute/5370  : 3D-utskriftshartstyp
gid://shopify/TaxonomyAttribute/5668  : 80 Plus-effektivitetsklassning
gid://shopify/TaxonomyAttribute/6976  : ABEC-betyg
gid://shopify/TaxonomyAttribute/8005  : Monteringsstil för AC-kompressor
gid://shopify/TaxonomyAttribute/8006  : Typ av AC-kompressorolja
gid://shopify/TaxonomyAttribute/5507  : ADC-upplösning
gid://shopify/TaxonomyAttribute/2649  : AI-applikation
gid://shopify/TaxonomyAttribute/7015  : ART-säkerhetsklassificering
gid://shopify/TaxonomyAttribute/7017  : Typ av ASA-montering
gid://shopify/TaxonomyAttribute/2703  : Däcktyp för fyrhjuling/terrängfordon
gid://shopify/TaxonomyAttribute/8045  : Avsedd användning för ATV/UTV
gid://shopify/TaxonomyAttribute/6336  : Abacus pärlmaterial
gid://shopify/TaxonomyAttribute/8004  : Slipnivå
gid://shopify/TaxonomyAttribute/2184  : Slipande material
gid://shopify/TaxonomyAttribute/7610  : Absinttillbehör som ingår
gid://shopify/TaxonomyAttribute/1460  : Absintstil
gid://shopify/TaxonomyAttribute/1461  : Absintsort
gid://shopify/TaxonomyAttribute/894   : Absorptionsnivå
gid://shopify/TaxonomyAttribute/2972  : Detaljer för absorberande hygienprodukter
gid://shopify/TaxonomyAttribute/2529  : Akademisk nivå
gid://shopify/TaxonomyAttribute/8942  : Accentlägen
gid://shopify/TaxonomyAttribute/6859  : Åtkomstmekanism
gid://shopify/TaxonomyAttribute/4996  : Funktioner för tillgänglighetsdesign
gid://shopify/TaxonomyAttribute/8007  : Tillgänglighetsfunktioner
gid://shopify/TaxonomyAttribute/6860  : Tillbehör som ingår
gid://shopify/TaxonomyAttribute/2956  : Tillbehör - material
gid://shopify/TaxonomyAttribute/6635  : Tillbehör som ingår
gid://shopify/TaxonomyAttribute/50    : Tillbehörsstorlek
gid://shopify/TaxonomyAttribute/2461  : Stämning av dragspel
gid://shopify/TaxonomyAttribute/8943  : Kontrollfunktioner för feedback från förstärkare
gid://shopify/TaxonomyAttribute/8944  : Komponenter till akustiskt trumset ingår
gid://shopify/TaxonomyAttribute/8945  : Akustisk gitarr – kroppsform
gid://shopify/TaxonomyAttribute/8946  : Akustisk gitarr – konstruktion av strängkärna
gid://shopify/TaxonomyAttribute/8947  : Tangentmaterial för akustiskt piano
gid://shopify/TaxonomyAttribute/8948  : Typ av lock till akustiskt piano
gid://shopify/TaxonomyAttribute/8949  : Akustisk piano – material för platta/ram
gid://shopify/TaxonomyAttribute/8950  : Akustiskt piano – material för resonansbotten
gid://shopify/TaxonomyAttribute/6337  : Actionfigurens skala
gid://shopify/TaxonomyAttribute/6977  : Actiontyp
gid://shopify/TaxonomyAttribute/5052  : Aktiveringsmekanism
gid://shopify/TaxonomyAttribute/4997  : Aktiveringsmetod
gid://shopify/TaxonomyAttribute/1598  : Aktiv ingrediens
gid://shopify/TaxonomyAttribute/2995  : Detaljer för träningskläder
gid://shopify/TaxonomyAttribute/5     : Aktivitet
gid://shopify/TaxonomyAttribute/1547  : Design på aktivitetsspårare
gid://shopify/TaxonomyAttribute/6978  : Aktiveringsmekanism
gid://shopify/TaxonomyAttribute/8008  : Aktiveringsmetod
gid://shopify/TaxonomyAttribute/1543  : Format på akupunkturmodell
gid://shopify/TaxonomyAttribute/1544  : Typ av akupunkturmodell
