# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : การออกแบบการสวมใส่แว่น 3D
gid://shopify/TaxonomyAttribute/5399  : เทคโนโลยีแว่น 3D
gid://shopify/TaxonomyAttribute/5365  : สไตล์เคสเครื่องพิมพ์ 3D
gid://shopify/TaxonomyAttribute/5366  : ส่วนประกอบชุดทำความสะอาดเครื่องพิมพ์ 3D ที่รวมอยู่
gid://shopify/TaxonomyAttribute/5370  : ประเภทเรซิ่นสำหรับพิมพ์ 3D
gid://shopify/TaxonomyAttribute/5668  : มาตรฐานประสิทธิภาพ 80 Plus
gid://shopify/TaxonomyAttribute/6976  : ระดับมาตรฐาน ABEC
gid://shopify/TaxonomyAttribute/8005  : รูปแบบการติดตั้งคอมเพรสเซอร์แอร์รถยนต์
gid://shopify/TaxonomyAttribute/8006  : ประเภทน้ำมันคอมเพรสเซอร์แอร์รถยนต์
gid://shopify/TaxonomyAttribute/5507  : ความละเอียด ADC
gid://shopify/TaxonomyAttribute/2649  : แอปพลิเคชัน AI
gid://shopify/TaxonomyAttribute/7015  : ระดับการรักษาความปลอดภัย ART
gid://shopify/TaxonomyAttribute/7017  : ประเภทการติดตั้ง ASA
gid://shopify/TaxonomyAttribute/2703  : ประเภทยางรถเอทีวี/ออฟโรด
gid://shopify/TaxonomyAttribute/8045  : วัตถุประสงค์การใช้งาน ATV/UTV
gid://shopify/TaxonomyAttribute/6336  : วัสดุลูกปัดลายลูกคิด
gid://shopify/TaxonomyAttribute/8004  : ระดับความหยาบ
gid://shopify/TaxonomyAttribute/2184  : วัสดุขัด
gid://shopify/TaxonomyAttribute/7610  : อุปกรณ์ที่มาพร้อมกับเหล้าแอ็บซินท์
gid://shopify/TaxonomyAttribute/1460  : สไตล์แอปซินท์
gid://shopify/TaxonomyAttribute/1461  : ลักษณะแอปซินท์
gid://shopify/TaxonomyAttribute/894   : ระดับการดูดซึม
gid://shopify/TaxonomyAttribute/2972  : คุณลักษณะผลิตภัณฑ์สุขอนามัยแบบดูดซับ
gid://shopify/TaxonomyAttribute/2529  : ระดับวิชาการ
gid://shopify/TaxonomyAttribute/8942  : โหมดการเน้นเสียง
gid://shopify/TaxonomyAttribute/6859  : วิธีการขึ้นเตียงยกสูง
gid://shopify/TaxonomyAttribute/4996  : คุณสมบัติการออกแบบเพื่อการเข้าถึง
gid://shopify/TaxonomyAttribute/8007  : คุณสมบัติเพื่อการเข้าถึง
gid://shopify/TaxonomyAttribute/6860  : อุปกรณ์เสริมที่มาพร้อมสินค้า
gid://shopify/TaxonomyAttribute/2956  : วัสดุอุปกรณ์เสริม
gid://shopify/TaxonomyAttribute/6635  : รายการเครื่องประดับที่รวมอยู่ในชุด
gid://shopify/TaxonomyAttribute/50    : ขนาดเครื่องประดับ
gid://shopify/TaxonomyAttribute/2461  : การปรับเสียงหีบเพลง
gid://shopify/TaxonomyAttribute/8943  : คุณสมบัติการควบคุมเสียงไมค์หอนของแอมป์อะคูสติก
gid://shopify/TaxonomyAttribute/8944  : รวมส่วนประกอบของชุดกลองอะคูสติก
gid://shopify/TaxonomyAttribute/8945  : รูปทรงกีตาร์โปร่ง
gid://shopify/TaxonomyAttribute/8946  : โครงสร้างแกนสายกีตาร์โปร่ง
gid://shopify/TaxonomyAttribute/8947  : วัสดุคีย์เปียโนอะคูสติก
gid://shopify/TaxonomyAttribute/8948  : ประเภทฝาปิดเปียโนอะคูสติก
gid://shopify/TaxonomyAttribute/8949  : วัสดุแผ่นโครง/เฟรมของเปียโนอะคูสติก
gid://shopify/TaxonomyAttribute/8950  : วัสดุซาวด์บอร์ดของเปียโนอะคูสติก
gid://shopify/TaxonomyAttribute/6337  : สเกลของแอ็กชันฟิกเกอร์
gid://shopify/TaxonomyAttribute/6977  : ประเภทกลไก
gid://shopify/TaxonomyAttribute/5052  : กลไกการเปิดใช้งาน
gid://shopify/TaxonomyAttribute/4997  : วิธีการเปิดใช้งาน
gid://shopify/TaxonomyAttribute/1598  : ส่วนผสมสำคัญ
gid://shopify/TaxonomyAttribute/2995  : คุณลักษณะเสื้อผ้าชุดออกกำลังกาย
gid://shopify/TaxonomyAttribute/5     : กิจกรรม
gid://shopify/TaxonomyAttribute/1547  : การออกแบบอุปกรณ์ติดตามกิจกรรม
gid://shopify/TaxonomyAttribute/6978  : กลไกการควบคุม
gid://shopify/TaxonomyAttribute/8008  : วิธีการสั่งการ
gid://shopify/TaxonomyAttribute/1543  : รูปแบบโมเดลการฝังเข็ม
gid://shopify/TaxonomyAttribute/1544  : ประเภทโมเดลการฝังเข็ม
gid://shopify/TaxonomyAttribute/5562  : ทิศทางของอะแดปเตอร์
gid://shopify/TaxonomyAttribute/5424  : โหมดการทำงานของอะแดปเตอร์
gid://shopify/TaxonomyAttribute/6979  : การวางแนวหัวแปลงจุ๊บลม
