# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Hayvanlar ve Evcil Hayvan Ürünleri
gid://shopify/TaxonomyCategory/ap-1              : Hayvanlar ve Evcil Hayvan Ürünleri > Canlı Hayvanlar
gid://shopify/TaxonomyCategory/ap-2              : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri
gid://shopify/TaxonomyCategory/ap-2-1            : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri
gid://shopify/TaxonomyCategory/ap-2-1-1          : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesi Aksesuarları
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesi Aksesuarları > Kuş Yuvası Kuş Banyoları
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesi Aksesuarları > Kuş Kafesi Yiyecek Kapları ve Sulukları
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesi Aksesuarları > Kuş Kafesi Yiyecek Kapları ve Sulukları > Kuş Kafesi Yemek Kapları
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesi Aksesuarları > Kuş Kafesi Yiyecek Kapları ve Sulukları > Kuş Kafesi Su Tabakları
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesi Aksesuarları > Kuş Kafesi Yiyecek Kapları ve Sulukları > Kombine Kuş Kafesi Yem ve Su Kapları
gid://shopify/TaxonomyCategory/ap-2-1-2          : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Kafesleri ve Stantları
gid://shopify/TaxonomyCategory/ap-2-1-3          : Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Kuş Ürünleri > Kuş Yemleri
