# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Đồ dùng cho động vật & thú cưng
gid://shopify/TaxonomyCategory/ap-1              : Đồ dùng cho động vật & thú cưng > Động vật sống
gid://shopify/TaxonomyCategory/ap-2              : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng
gid://shopify/TaxonomyCategory/ap-2-1            : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim
gid://shopify/TaxonomyCategory/ap-2-1-1          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Phụ kiện lồng chim
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Phụ kiện lồng chim > Bể tắm chim lồng
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Phụ kiện lồng chim > Đĩa thức ăn và nước uống trong lồng chim
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Phụ kiện lồng chim > Đĩa thức ăn và nước uống trong lồng chim > Đĩa thức ăn trong lồng chim
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Phụ kiện lồng chim > Đĩa thức ăn và nước uống trong lồng chim > Đĩa nước uống trong lồng chim
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Phụ kiện lồng chim > Đĩa thức ăn và nước uống trong lồng chim > Đĩa kết hợp đựng thức ăn và nước uống trong lồng chim
gid://shopify/TaxonomyCategory/ap-2-1-2          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Lồng chim và giá đậu cho chim
gid://shopify/TaxonomyCategory/ap-2-1-3          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Thức ăn cho chim
gid://shopify/TaxonomyCategory/ap-2-1-4          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Cầu đứng nuôi chim
gid://shopify/TaxonomyCategory/ap-2-1-5          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Thang và chỗ đậu cho chim
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Thang và chỗ đậu cho chim > Thang & bậc thang
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Thang và chỗ đậu cho chim > Xích đu & sào đậu
gid://shopify/TaxonomyCategory/ap-2-1-6          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Bóng & đồ chơi để nhặt
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Chuông & hạt
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Đồ chơi nhai gặm
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Đồ chơi kiếm ăn
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Gương
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Trò chơi giải đố & đồ chơi tương tác
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Dây thừng & nút Thắt
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ chơi cho chim > Đường hầm & ống
gid://shopify/TaxonomyCategory/ap-2-1-7          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho chim > Đồ ăn thưởng cho chim
gid://shopify/TaxonomyCategory/ap-2-2            : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-1          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Thức ăn cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Thức ăn cho mèo > Thức ăn cho mèo không theo toa
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Thức ăn cho mèo > Thức ăn cho mèo theo toa
gid://shopify/TaxonomyCategory/ap-2-2-2          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Nhà cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Giá & kệ cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Bàn cào móng & trụ cào móng mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Bậc thang & thềm dốc cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Nhà cây & tháp cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Giường & võng treo cửa sổ cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ dùng cho mèo > Nhà cho mèo ngoài trời
gid://shopify/TaxonomyCategory/ap-2-2-3          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Phụ kiện đồ dùng cho mèo
