# Shopify Product Taxonomy - Categories: 2099-01
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 动物/宠物用品
gid://shopify/TaxonomyCategory/ap-1              : 动物/宠物用品 > 活体动物
gid://shopify/TaxonomyCategory/ap-2              : 动物/宠物用品 > 宠物用品
gid://shopify/TaxonomyCategory/ap-2-1            : 动物/宠物用品 > 宠物用品 > 鸟类用品
gid://shopify/TaxonomyCategory/ap-2-1-1          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼配件
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼配件 > 鸟笼鸟池
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼配件 > 鸟笼食物/水碟
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼配件 > 鸟笼食物/水碟 > 鸟笼食物碟
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼配件 > 鸟笼食物/水碟 > 鸟笼水碟
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼配件 > 鸟笼食物/水碟 > 组合式鸟笼食物/水碟
gid://shopify/TaxonomyCategory/ap-2-1-2          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟笼/鸟架
gid://shopify/TaxonomyCategory/ap-2-1-3          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟食
gid://shopify/TaxonomyCategory/ap-2-1-4          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟儿活动架/玩耍架
gid://shopify/TaxonomyCategory/ap-2-1-5          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟攀爬梯/栖棍
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟攀爬梯/栖棍 > 梯子和台阶
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟攀爬梯/栖棍 > 秋千和栖棍
gid://shopify/TaxonomyCategory/ap-2-1-6          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 球和拾取玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 铃铛和珠子
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 咀嚼玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 觅食玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 镜子
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 益智和互动玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 绳索和绳结
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟用玩具 > 隧道和管道
gid://shopify/TaxonomyCategory/ap-2-1-7          : 动物/宠物用品 > 宠物用品 > 鸟类用品 > 鸟零食
gid://shopify/TaxonomyCategory/ap-2-2            : 动物/宠物用品 > 宠物用品 > 猫用品
gid://shopify/TaxonomyCategory/ap-2-2-1          : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫粮
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫粮 > 非处方猫粮
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫粮 > 处方猫粮
gid://shopify/TaxonomyCategory/ap-2-2-2          : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 猫公寓和房屋
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 猫栖架和架子
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 猫抓板和猫抓柱
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 猫台阶和坡道
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 猫爬架
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 带窗猫床和栖架
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫用家具 > 户外猫屋
gid://shopify/TaxonomyCategory/ap-2-2-3          : 动物/宠物用品 > 宠物用品 > 猫用品 > 猫家具配件
