# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼鏡配戴設計
gid://shopify/TaxonomyAttribute/5399  : 3D 眼鏡技術
gid://shopify/TaxonomyAttribute/5365  : 3D 印表機外殼樣式
gid://shopify/TaxonomyAttribute/5366  : 包含的 3D 印表機清潔套件組件
gid://shopify/TaxonomyAttribute/5370  : 3D 列印樹脂類型
gid://shopify/TaxonomyAttribute/5668  : 80 Plus 效率等級
gid://shopify/TaxonomyAttribute/6976  : ABEC 評級
gid://shopify/TaxonomyAttribute/8005  : 空調壓縮機安裝方式
gid://shopify/TaxonomyAttribute/8006  : 空調壓縮機油類型
gid://shopify/TaxonomyAttribute/5507  : ADC 解析度
gid://shopify/TaxonomyAttribute/2649  : 人工智慧應用
gid://shopify/TaxonomyAttribute/7015  : ART 安全評級
gid://shopify/TaxonomyAttribute/7017  : ASA 安裝類型
gid://shopify/TaxonomyAttribute/2703  : ATV/越野輪胎類型
gid://shopify/TaxonomyAttribute/8045  : 全地形車/多功能越野車預期用途
gid://shopify/TaxonomyAttribute/6336  : 算盤珠材質
gid://shopify/TaxonomyAttribute/8004  : 研磨等級
gid://shopify/TaxonomyAttribute/2184  : 磨料材料
gid://shopify/TaxonomyAttribute/7610  : 包含苦艾酒配件
gid://shopify/TaxonomyAttribute/1460  : 苦艾酒樣式
gid://shopify/TaxonomyAttribute/1461  : 苦艾酒種類
gid://shopify/TaxonomyAttribute/894   : 吸收能力等級
gid://shopify/TaxonomyAttribute/2972  : 吸水衛生用品功能
gid://shopify/TaxonomyAttribute/2529  : 學術水平
gid://shopify/TaxonomyAttribute/8942  : 重音模式
gid://shopify/TaxonomyAttribute/6859  : 存取機制
gid://shopify/TaxonomyAttribute/4996  : 無障礙設計功能
gid://shopify/TaxonomyAttribute/8007  : 無障礙功能
gid://shopify/TaxonomyAttribute/6860  : 包含配件
gid://shopify/TaxonomyAttribute/2956  : 配件材質
gid://shopify/TaxonomyAttribute/6635  : 包含配件件數
gid://shopify/TaxonomyAttribute/50    : 配件尺寸
gid://shopify/TaxonomyAttribute/2461  : 手風琴調音
gid://shopify/TaxonomyAttribute/8943  : 原音擴大機回授控制功能
gid://shopify/TaxonomyAttribute/8944  : 包含原聲鼓組組件
gid://shopify/TaxonomyAttribute/8945  : 原聲吉他琴身形狀
gid://shopify/TaxonomyAttribute/8946  : 原聲吉他琴弦核心設計
gid://shopify/TaxonomyAttribute/8947  : 原聲鋼琴琴鍵材質
gid://shopify/TaxonomyAttribute/8948  : 原聲鋼琴蓋類型
gid://shopify/TaxonomyAttribute/8949  : 原聲鋼琴鐵板/琴架材質
gid://shopify/TaxonomyAttribute/8950  : 原聲鋼琴響板材質
gid://shopify/TaxonomyAttribute/6337  : 動作玩偶比例
gid://shopify/TaxonomyAttribute/6977  : 操作類型
gid://shopify/TaxonomyAttribute/5052  : 觸發機制
gid://shopify/TaxonomyAttribute/4997  : 啟用方式
gid://shopify/TaxonomyAttribute/1598  : 有效成分
gid://shopify/TaxonomyAttribute/2995  : 運動服功能
gid://shopify/TaxonomyAttribute/5     : 活動
gid://shopify/TaxonomyAttribute/1547  : 活動追蹤器設計
gid://shopify/TaxonomyAttribute/6978  : 啟動機制
gid://shopify/TaxonomyAttribute/8008  : 啟動方式
gid://shopify/TaxonomyAttribute/1543  : 針灸銅人格式
gid://shopify/TaxonomyAttribute/1544  : 針灸銅人類型
gid://shopify/TaxonomyAttribute/5562  : 轉接器方向性
gid://shopify/TaxonomyAttribute/5424  : 轉接器操作模式
gid://shopify/TaxonomyAttribute/6979  : 轉接頭方向
gid://shopify/TaxonomyAttribute/5391  : 自適應同步技術
gid://shopify/TaxonomyAttribute/3376  : 附加動畫軟體功能
gid://shopify/TaxonomyAttribute/5144  : 其他清潔技術
gid://shopify/TaxonomyAttribute/3378  : 附加設計軟體類型
gid://shopify/TaxonomyAttribute/3373  : 附加會計軟體功能
gid://shopify/TaxonomyAttribute/3377  : 附加平面設計軟體功能
gid://shopify/TaxonomyAttribute/3379  : 附加發布軟體功能
gid://shopify/TaxonomyAttribute/3372  : 附加資安軟體功能
gid://shopify/TaxonomyAttribute/8951  : 添加劑應用階段
gid://shopify/TaxonomyAttribute/5249  : 黏合劑應用類型
gid://shopify/TaxonomyAttribute/8952  : 背膠
gid://shopify/TaxonomyAttribute/5099  : 黏著特性
gid://shopify/TaxonomyAttribute/5531  : 黏合劑形式
gid://shopify/TaxonomyAttribute/6980  : 黏合劑配方
gid://shopify/TaxonomyAttribute/8953  : 黏著面數
gid://shopify/TaxonomyAttribute/5207  : 黏合強度
gid://shopify/TaxonomyAttribute/2319  : 黏著劑類型
gid://shopify/TaxonomyAttribute/8954  : 輔料穀物加工形式
gid://shopify/TaxonomyAttribute/8009  : 可調式類型
gid://shopify/TaxonomyAttribute/8955  : 可調式杯形消音器
gid://shopify/TaxonomyAttribute/6861  : 可調式區域
gid://shopify/TaxonomyAttribute/8010  : 調整類型
gid://shopify/TaxonomyAttribute/6981  : 給藥方式
gid://shopify/TaxonomyAttribute/8956  : 建議卡提示類型
gid://shopify/TaxonomyAttribute/6982  : 曝氣方式
