# Shopify Product Taxonomy - Categories: 2025-03-rc1
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 動物/寵物補給品
gid://shopify/TaxonomyCategory/ap-1              : 動物/寵物補給品 > 動物
gid://shopify/TaxonomyCategory/ap-2              : 動物/寵物補給品 > 寵物用品
gid://shopify/TaxonomyCategory/ap-2-1            : 動物/寵物補給品 > 寵物用品 > 鳥類用品
gid://shopify/TaxonomyCategory/ap-2-1-1          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠配件
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠配件 > 鳥籠浴盆
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠配件 > 鳥籠餵食碗/餵食器
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠配件 > 鳥籠餵食碗/餵食器 > 鳥籠飼料碗
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠配件 > 鳥籠餵食碗/餵食器 > 鳥籠水碗
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠配件 > 鳥籠餵食碗/餵食器 > 鳥籠飼料水碗組
gid://shopify/TaxonomyCategory/ap-2-1-2          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥籠/鳥籠架
gid://shopify/TaxonomyCategory/ap-2-1-3          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥類飼料
gid://shopify/TaxonomyCategory/ap-2-1-4          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥架
gid://shopify/TaxonomyCategory/ap-2-1-5          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥類攀爬架
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥類攀爬架 > 梯子和階梯
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥類攀爬架 > 鞦韆和棲木
gid://shopify/TaxonomyCategory/ap-2-1-6          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 撿球遊戲玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 鈴鐺和珠子
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 耐咬玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 覓食玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 鏡子
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 益智遊戲和互動玩具
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 繩子和繩結
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥用玩具 > 隧道和管子
gid://shopify/TaxonomyCategory/ap-2-1-7          : 動物/寵物補給品 > 寵物用品 > 鳥類用品 > 鳥類零食
gid://shopify/TaxonomyCategory/ap-2-2            : 動物/寵物補給品 > 寵物用品 > 貓用品
gid://shopify/TaxonomyCategory/ap-2-2-1          : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓飼料
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓飼料 > 非處方貓食
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓飼料 > 處方貓食
gid://shopify/TaxonomyCategory/ap-2-2-2          : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 貓公寓和房屋
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 貓跳台
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 貓抓板
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 貓樓梯和斜坡
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 樹狀貓跳台
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 貓窗台吊床和跳台
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓家具 > 戶外貓屋
gid://shopify/TaxonomyCategory/ap-2-2-3          : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓用家具配件
gid://shopify/TaxonomyCategory/ap-2-2-4          : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓砂
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓砂 > 貓便盆專用袋
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓砂 > 貓砂盆用墊
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓砂 > 貓砂盆
gid://shopify/TaxonomyCategory/ap-2-2-5          : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 球和追逐玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 貓薄荷玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 耐咬玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 羽毛和逗貓棒
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 互動玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 雷射玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 益智遊戲和餵零食玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 發聲玩具
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 填充玩具和玩偶
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 隧道
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪玩具 > 棒子
